id,site,visit,point,length,roundness,L,a,b
S4U389,Sampiruhan,September,4,429.386,0.643765371,36.23682426,-20.48200704,30.33063818
S4U256,Sampiruhan,September,4,928.31,0.64340978,63.56380407,-7.01592645,35.87308721
S4U251,Sampiruhan,September,4,985.119,0.641929785,42.91079019,-2.005278143,31.14333701
S4U106,Sampiruhan,September,4,1193.535,0.640734122,45.24736171,-20.12423,8.217884717
S4U36,Sampiruhan,September,4,3360.522,0.64069757,65.56079806,-22.48800937,-18.46042747
S1U41,Sampiruhan,September,1,1079.294,0.639537688,42.71306254,-4.673402789,26.91638442
S4U383,Sampiruhan,September,4,1381.114,0.639206166,39.30084204,-9.121544283,21.14109836
S4U247,Sampiruhan,September,4,803.073,0.637472924,39.03683578,-12.37962568,15.91110637
S1U42,Sampiruhan,September,1,1036.258,0.637235334,59.58971152,-3.816939475,32.38833095
S5U263,Sampiruhan,September,5,846.369,0.637106571,41.27674065,-5.269524337,20.94952469
S4U253,Sampiruhan,September,4,1027.848,0.636268456,42.27970101,-6.72661455,25.14821413
S4U394,Sampiruhan,September,4,909.546,0.634230224,42.22885668,-9.101357306,25.00805735
S5U28,Sampiruhan,September,5,3534.516,0.633949088,87.84702232,-3.10214411,3.448553145
S4U267,Sampiruhan,September,4,964.883,0.633289707,49.65711361,0.722545782,37.93641184
S5U203,Sampiruhan,September,5,2226.053,0.632997683,41.151281,-5.978775661,21.93820637
S5U34,Sampiruhan,September,5,3534.34,0.632344363,84.30610748,-21.74354014,-9.658620109
S4U91,Sampiruhan,September,4,865.121,0.630734122,55.29258478,-27.97342309,10.73120119
S4U320,Sampiruhan,September,4,1218.148,0.630486928,40.5915097,-17.44589676,14.32470708
S5U267,Sampiruhan,September,5,1690.229,0.630065249,39.61868881,-7.090276844,16.84606953
S4U110,Sampiruhan,September,4,1258.276,0.62892771,67.37881548,-2.423291645,26.59933167
S4U218,Sampiruhan,September,4,577.851,0.627251971,33.15029893,8.349831311,37.41122965
S5U100,Sampiruhan,September,5,800.709,0.62666001,38.06604759,-15.49383727,14.49451237
S4U187,Sampiruhan,September,4,1489.505,0.626158162,68.22713283,-11.87503593,34.97966069
S4U121,Sampiruhan,September,4,889.471,0.625896371,42.70900359,-26.33760241,8.0741155
S4U407,Sampiruhan,September,4,1427.819,0.624986386,92.96081284,-36.05031273,-12.16237952
S4U47,Sampiruhan,September,4,3219.77,0.624296189,78.22437633,-4.986029955,6.432687955
S5U246,Sampiruhan,September,5,1577.575,0.623774513,58.26741786,-3.450614184,17.77949813
S5U155,Sampiruhan,September,5,1847.841,0.623409101,19.65918651,3.875093339,-26.73570758
S3U22,Sampiruhan,September,3,600.119,0.623394835,59.49071376,-16.70869465,-16.91888994
S5U195,Sampiruhan,September,5,760.976,0.623355273,78.23825575,-4.874143269,23.2527312
S4U332,Sampiruhan,September,4,285.207,0.621472924,36.06904717,-12.15081105,9.287865316
S5U278,Sampiruhan,September,5,722.113,0.621235964,60.19231229,-0.18674023,22.26071419
S2U19,Sampiruhan,September,2,3646.772,0.621014788,80.38078498,-5.465982601,-4.520907735
S4U373,Sampiruhan,September,4,1497.859,0.620362975,41.68877739,-8.779341319,13.03423084
S5U88,Sampiruhan,September,5,721.906,0.619228634,40.18703498,-3.416656801,35.09484587
S4U222,Sampiruhan,September,4,806.122,0.618446603,64.47054303,-11.83586476,33.2045862
S4U29,Sampiruhan,September,4,2971.408,0.617946792,71.91925649,-1.510534919,3.236234614
S4U406,Sampiruhan,September,4,2935.775,0.617205888,72.52382504,-26.86637242,-17.86219278
S4U241,Sampiruhan,September,4,2683.271,0.616237809,41.967748,-4.3955079,28.21843513
S5U293,Sampiruhan,September,5,2181.934,0.612441485,70.84657638,-8.064607114,-1.264218277
