"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","Min","Q5","Q25","Mean","Mode","Q75","Q95","Max"
"2","0.00266240388222688","0.0080462233081269","0.0210779348885787","0.294046278435198","0.0229845985715844","0.228400417522393","1.41045288304163","1.97579710249037"
