"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","Min","Q5","Q25","Mean","Mode","Q75","Q95","Max"
"2","0.0131541398200199","0.520615338258378","1.48436344416203","5.37073765794377","0.769309788598129","8.30073057421178","11.1705244901272","15.9332366895703"
