"","Tier","Food Dilution (Freshwater)","Tissue Translocation (Freshwater)","Food Dilution (Marine)","Tissue Translocation (Marine)"
"1","Tier1","0.4 (0.03 to 4)","101.0 (66.40 to 183)","0.0000 (0.00000 to 0.000)","0.8070 (0.20900 to 1.830)"
"2","Tier2","4.1 (0.34 to 38)","708.0 (457.00 to 1,050)","0.0026 (0.00023 to 0.022)","12.9000 (6.40000 to 30.200)"
"3","Tier3","36.1 (3.36 to 252)","4,630.0 (1,950.00 to 6,740)","0.2820 (0.02910 to 2.180)","482.0000 (162.00000 to 1,210.000)"
"4","Tier4","121.0 (13.60 to 765)","9,470.0 (4,080.00 to 13,900)","1.3400 (0.15000 to 9.530)","1,550.0000 (605.00000 to 3,820.000)"
