"","Tier","food_dilution_Freshwater (ug/L)","tissue_translocation_Freshwater (ug/L)","food_dilution_Marine (ug/L)","tissue_translocation_Marine (ug/L)"
"1","Tier1","13 (1 to 154)","3,590 (1,790 to 8,020)","0.01 (0.001 to 0.1)","133.00 (34.600 to 302.0)"
"2","Tier2","143 (11 to 1,410)","24,800 (12,100 to 48,900)","0.42 (0.039 to 3.6)","2,120.00 (1,050.000 to 4,960.0)"
"3","Tier3","1,270 (114 to 9,310)","156,000 (59,900 to 316,000)","46.50 (4.820 to 358.0)","79,300.00 (26,600.000 to 199,000.0)"
"4","Tier4","4,230 (461 to 28,500)","321,000 (124,000 to 648,000)","222.00 (24.800 to 1,560.0)","255,000.00 (98,900.000 to 628,000.0)"
