Data ID:;D:\mrolf2\ML2_5-20_1-64_5v5\ML-2_5-20_1-64_5v5.ilab
Date of Export:;2021-02-06 14:34:59
Classes:;24
Particles on File:;40575

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;0
;2;PET;PET;0
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;5
;6;PVC;PVC;0
;7;PE;PE;10
;8;PP;PP;2
;9;POM;POM;2
;10;ABS;ABS;0
;11;PAN;PAN;3
;12;PS;PS;4
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;32087
;22;Non-Polymer;Non-Polymer;8459
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;2

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;29

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00020;1;122,102499999944;11;PAN;306;613;306;306;613;613;307,000000000000;614,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39716029629630;0,45256723115791;;"";"";"";"";"";""
;00021;1;122,102499999944;11;PAN;377;687;377;377;687;687;378,000000000000;688,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57926143072922;0,24952671798743;;"";"";"";"";"";""
;00022;2;244,204999999887;11;PAN;378;686;378;379;686;686;380,000000000000;687,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,37681889280000;0,46659758216739;OK;"ja";"Faser";"schwarz";"1778";"17";""
;00023;11;1343,12749999938;12;PS;414;512;414;416;512;515;416,000000000000;514,000000000000;-0,26001062804231;0,96560575459400;4,41683851986659;3,45123276527272;1,27978575201014;105,070692776038;0,75439217777778;0,67948968950253;OK;"ja";"Kugel";"transparent";"74";"74";""
;00024;49;5983,02249999724;12;PS;491;559;491;504;557;561;499,000000000000;560,000000000000;0,99870961415057;-5,07849052693431E-02;14,0847947944961;5,19797807767975;2,70966798705377;177,088987047374;1,00000000000000;0,79361517440403;OK;"ja";"Fragment";"transparent";"181";"76";""
;00025;22;2686,25499999876;12;PS;548;488;548;552;485;490;551,000000000000;489,000000000000;-0,57530893737250;0,81793619957753;7,39091674737762;4,60442647347759;1,60517640795238;125,121270139036;0,97351111111111;0,80639059932227;OK;"ja";"Kugel";"transparent";"81";"81";""
;00026;12;1465,22999999932;12;PS;716;437;716;720;435;438;719,000000000000;438,000000000000;0,85065080835204;-0,52573111211913;5,97979656976554;2,90211303259025;2,06049747291488;148,282525588539;0,48514601718519;0,74333327065188;OK;"ja";"Kugel";"transparent";"57";"57";""
;00027;1;122,102499999944;16;EVAc;318;607;318;318;607;607;319,000000000000;608,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39259525053790;0,45516264153047;;"";"";"";"";"";""
;40574;1;122,102499999944;24;PLA-PBAT;298;457;298;298;457;457;299,000000000000;458,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,25783368555688;0,00000000000000;;"";"";"";"";"";""
;40575;1;122,102499999944;24;PLA-PBAT;299;456;299;299;456;456;300,000000000000;457,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26401457050475;0,00000000000000;;"";"";"";"";"";""
