;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;Länge;Breite
gr1mm_ML1_nass_5-20cm_Markus_001;1;Fragment;weiß;PE;1;;Hannah;31.01.2020;4248;2116
gr1mm_ML1_nass_5-20cm_Markus_002;1;Fragment;beige;x;x;;Hannah;31.01.2020;;
gr1mm_ML1_nass_5-20cm_Markus_003;1;Fragment;blau;PE;1;;Hannah;31.01.2020;2812;1408
gr1mm_ML1_nass_5-20cm_Markus_004;1;Fragment;weiß;x;x;;Hannah;31.01.2020;;
gr1mm_ML1_nass_5-20cm_Markus_005;1;Faser;weiß;PET;1;;Hannah;31.01.2020;7162;126
