Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_3v5\ML 1.1_5-20_1-32_3v5.ilab
Date of Export:;2021-02-06 11:47:04
Classes:;24
Particles on File:;8679

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;76
;2;PET;PET;13
;3;PA;PA;1
;4;PC;PC;10
;5;PMMA;PMMA;5
;6;PVC;PVC;11
;7;PE;PE;34
;8;PP;PP;14
;9;POM;POM;6
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;11
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;3
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;1
;20;SILICONE;SI;2
;21;Substrat;Substrate;4
;22;Non-Polymer;Non-Polymer;8483
;23;PLA;PLA;1
;24;PLA-PBAT;PLAPBAT;3

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;192

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00021;1;122,102499999944;1;PU;267;354;267;267;354;354;268,000000000000;355,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41398019160494;0,31498132146077;;"";"";"";"";"";""
;00022;1;122,102499999944;1;PU;302;358;302;302;358;358;303,000000000000;359,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45128686806914;5,55566187274152E-03;;"";"";"";"";"";""
;00023;2;244,204999999887;1;PU;320;160;320;321;160;160;322,000000000000;161,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,40960000000000;7,02535456394555E-02;;"";"";"";"";"";""
;00024;57;6959,84249999679;1;PU;320;869;320;327;869;878;324,000000000000;874,000000000000;-8,95755357692891E-02;0,99598003162295;10,0533958203756;8,24058682866843;1,21998542450891;95,1391884528831;0,73973333333333;0,63672584315104;;"";"";"";"";"";""
;00025;1;122,102499999944;1;PU;321;633;321;321;633;633;322,000000000000;634,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35006940349630;0,34720538181948;;"";"";"";"";"";""
;00026;1;122,102499999944;1;PU;323;282;323;323;282;282;324,000000000000;283,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49245643662222;0,41116727694308;;"";"";"";"";"";""
;00027;1;122,102499999944;1;PU;326;369;326;326;369;369;327,000000000000;370,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50201600000000;3,51286993843793E-02;;"";"";"";"";"";""
;00028;1;122,102499999944;1;PU;337;175;337;337;175;175;338,000000000000;176,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42308756123496;0,17024764883424;;"";"";"";"";"";""
;00029;15;1831,53749999916;1;PU;344;472;344;348;472;475;347,000000000000;474,000000000000;0,96718246453025;-0,25408282174358;5,37689550160815;4,15563021533433;1,29388208839356;165,280755162664;0,89617777777778;0,56260488119111;;"";"";"";"";"";""
;00030;2;244,204999999887;1;PU;344;785;344;345;785;785;346,000000000000;786,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,48760452740741;0,18804620979705;;"";"";"";"";"";""
;00031;1;122,102499999944;1;PU;359;729;359;359;729;729;360,000000000000;730,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48071111111111;0,22383891987383;;"";"";"";"";"";""
;00032;1;122,102499999944;1;PU;360;730;360;360;730;730;361,000000000000;731,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43654718872757;0,22225575558308;;"";"";"";"";"";""
;00033;1;122,102499999944;1;PU;371;606;371;371;606;606;372,000000000000;607,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44132503703704;0,13457186560866;;"";"";"";"";"";""
;00034;1;122,102499999944;1;PU;371;621;371;371;621;621;372,000000000000;622,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46376296296296;0,24846008159997;;"";"";"";"";"";""
;00035;3;366,307499999831;1;PU;378;277;378;380;277;277;380,000000000000;278,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,35484400414411;0,38513282800439;;"";"";"";"";"";""
