Data ID:;D:\mrolf2\ausgewertet - Copy\ML-2_5-20_1-64_3v5\ML-2_5-20_1-64_3v5.ilab
Date of Export:;2021-02-06 14:30:16
Classes:;24
Particles on File:;33379

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;7
;2;PET;PET;22
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;3
;6;PVC;PVC;1
;7;PE;PE;29
;8;PP;PP;27
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;16
;13;PBT;PBT;3
;14;PPSU;PPSU;0
;15;CA;CA;6
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;27533
;22;Non-Polymer;Non-Polymer;5728
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;118

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;Plastik ja/nein;Form;Farbe;L‰nge;Breite;Kommentar
;00020;4;488,409999999775;2;PET;691;418;691;693;417;418;693,000000000000;419,000000000000;0,94868329805051;-0,31622776601684;3,21359436211787;1,94868329805047;1,64911064067356;161,565051177078;0,30082245622588;0,44818880006060;;"";"";"";"";"";""
;00021;3;366,307499999831;2;PET;701;392;701;703;392;392;703,000000000000;393,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,52205125931901;0,59297583222544;;"";"";"";"";"";""
;00022;1;122,102499999944;2;PET;702;413;702;702;413;413;703,000000000000;414,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32894673494475;0,50270673569789;;"";"";"";"";"";""
;00023;1;122,102499999944;2;PET;703;412;703;703;412;412;704,000000000000;413,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30584416030430;0,47865037564419;;"";"";"";"";"";""
;00024;2;244,204999999887;2;PET;704;411;704;705;411;411;706,000000000000;412,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,19613711260760;0,48132978972881;;"";"";"";"";"";""
;00025;1;122,102499999944;2;PET;708;409;708;708;409;409;709,000000000000;410,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39470822980234;0,64992247954518;;"";"";"";"";"";""
;00026;4;488,409999999775;2;PET;709;408;709;711;407;408;711,000000000000;408,000000000000;0,85065080835204;-0,52573111211913;3,22703272882319;1,85065080835193;1,74372859226586;148,282525588539;0,35172344549818;0,52900920840498;;"";"";"";"";"";""
;00027;1;122,102499999944;2;PET;712;406;712;712;406;406;713,000000000000;407,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,28774554633765;0,41983479717277;;"";"";"";"";"";""
;00028;2;244,204999999887;2;PET;714;403;714;715;403;403;716,000000000000;404,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,34619320041371;0,53042150705111;;"";"";"";"";"";""
;00029;1;122,102499999944;2;PET;716;402;716;716;402;402;717,000000000000;403,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,25734767106032;0,52748265823868;;"";"";"";"";"";""
