Data ID:;D:\mrolf2\ML2.3_5-20\NO2-1\ML2.3_5-20_NO2-1.ilab
Date of Export:;2021-02-06 14:44:15
Classes:;24
Particles on File:;2407

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;10
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;0
;6;PVC;PVC;36
;7;PE;PE;17
;8;PP;PP;1
;9;POM;POM;3
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;1
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;2336
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;71

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00020;3;366,307499999831;6;PVC;251;368;251;252;367;368;253,000000000000;369,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,45954108850041;0,71552375117537;OK;"ja";"Fragment";"rot";"337";"286";""
;00021;2;244,204999999887;6;PVC;251;370;251;252;370;370;252,000000000000;371,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,31567720296296;0,53732359421684;;"";"";"";"";"";""
;00022;1;122,102499999944;6;PVC;255;372;255;255;372;372;256,000000000000;373,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32299767017423;0,69924768208422;;"";"";"";"";"";""
;00023;1;122,102499999944;6;PVC;257;369;257;257;369;369;258,000000000000;370,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57954607407407;0,70414666665855;;"";"";"";"";"";""
;00024;4;488,409999999775;6;PVC;258;381;258;259;381;382;260,000000000000;382,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,56126160592593;0,57542227237418;;"";"";"";"";"";""
;00025;1;122,102499999944;6;PVC;259;370;259;259;370;370;260,000000000000;371,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45550731061728;0,71538485199713;;"";"";"";"";"";""
;00026;1;122,102499999944;6;PVC;261;366;261;261;366;366;262,000000000000;367,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39882692118136;0,64894789629243;;"";"";"";"";"";""
;00027;1;122,102499999944;6;PVC;261;381;261;261;381;381;262,000000000000;382,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54101475317212;0,41510674740044;;"";"";"";"";"";""
;00028;1;122,102499999944;6;PVC;262;367;262;262;367;367;263,000000000000;368,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54311111111111;0,70805998142158;;"";"";"";"";"";""
;00029;1;122,102499999944;6;PVC;262;380;262;262;380;380;263,000000000000;381,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49015254686025;0,34868480582153;;"";"";"";"";"";""
;00030;1;122,102499999944;6;PVC;263;366;263;263;366;366;264,000000000000;367,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51193704296296;0,66923311554853;;"";"";"";"";"";""
;00031;1;122,102499999944;6;PVC;264;369;264;264;369;369;265,000000000000;370,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52749994666667;0,69243498458785;;"";"";"";"";"";""
;00032;9;1098,92249999949;6;PVC;265;366;265;267;365;368;267,000000000000;368,000000000000;4,74580204288370E-02;0,99887323334694;4,04407772046972;3,09266250755158;1,30763628769547;87,2798339844973;0,24837688888889;0,68159766938135;;"";"";"";"";"";""
;00033;13;1587,33249999927;6;PVC;267;370;267;271;368;371;270,000000000000;371,000000000000;0,85989886925166;-0,51046443035702;5,46052433772070;3,74072659921740;1,45974964833386;149,305229832983;0,69333333333333;0,55851620563888;;"";"";"";"";"";""
;00034;2;244,204999999887;6;PVC;274;279;274;275;279;279;276,000000000000;280,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,44202666666667;0,75492238427314;OK;"ja";"Fragment";"transparent";"59";"43";""
;00035;2;244,204999999887;6;PVC;341;864;341;342;864;864;342,000000000000;865,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,19547177306302;0,62901785790876;;"";"";"";"";"";""
;00036;2;244,204999999887;6;PVC;346;867;346;346;867;868;347,000000000000;868,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,42990675261735;0,77062593679330;;"";"";"";"";"";""
;00037;1;122,102499999944;6;PVC;355;869;355;355;869;869;356,000000000000;870,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47327898623742;0,15681757503420;;"";"";"";"";"";""
;00038;1;122,102499999944;6;PVC;356;861;356;356;861;861;357,000000000000;862,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,55007762962963;0,77874258622173;OK;"ja";"Fragment";"blau";"240";"121";""
;00039;5;610,512499999719;6;PVC;481;845;481;483;843;845;483,000000000000;845,000000000000;-0,52573111211913;0,85065080835204;3,75276384094235;2,05146222423832;1,82931169611748;121,717474411461;0,52688654303412;0,26226069336322;;"";"";"";"";"";""
;00040;1;122,102499999944;6;PVC;483;841;483;483;841;841;484,000000000000;842,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35545490165909;0,23786722396490;;"";"";"";"";"";""
;00041;2;244,204999999887;6;PVC;648;142;648;648;142;143;649,000000000000;144,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,44284444444444;0,52372159494166;;"";"";"";"";"";""
;00042;4;488,409999999775;6;PVC;649;145;649;652;145;145;652,000000000000;146,000000000000;1,00000000000000;0,00000000000000;4,00000000000000;1,00000000000000;4,00000000000000;0,00000000000000;0,64785066666667;0,23098780649402;;"";"";"";"";"";""
;00043;1;122,102499999944;6;PVC;653;143;653;653;143;143;654,000000000000;144,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45309688317312;0,13139901062810;;"";"";"";"";"";""
;00044;1;122,102499999944;6;PVC;656;145;656;656;145;145;657,000000000000;146,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42636325925926;0,14081622956261;;"";"";"";"";"";""
;00045;1;122,102499999944;6;PVC;656;147;656;656;147;147;657,000000000000;148,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,73124067555556;0,33290249905656;;"";"";"";"";"";""
;00046;5;610,512499999719;6;PVC;657;148;657;658;147;149;659,000000000000;149,000000000000;-0,31622776601684;0,94868329805051;3,21359436211787;2,26491106406752;1,41886116991571;108,434948822922;0,61294364444444;0,62402529577233;;"";"";"";"";"";""
;00047;46;5616,71499999741;6;PVC;889;284;889;896;284;292;894,000000000000;288,000000000000;0,21055258480029;0,97758253310599;9,24176543444850;8,05363031654213;1,14752789378300;77,8452629176651;0,89457777777778;0,71099861863287;OK;"ja";"Fragment";"weiﬂ";"112";"79";""
;00048;1;122,102499999944;6;PVC;901;551;901;901;551;551;902,000000000000;552,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36044800000000;0,21986297778684;;"";"";"";"";"";""
;00049;1;122,102499999944;7;PE;225;610;225;225;610;610;226,000000000000;611,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43776000000000;0,00000000000000;;"";"";"";"";"";""
;00050;1;122,102499999944;7;PE;228;277;228;228;277;277;229,000000000000;278,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41150577777778;0,00000000000000;;"";"";"";"";"";""
;00051;2;244,204999999887;7;PE;232;275;232;233;275;275;234,000000000000;276,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,18274550208854;0,00000000000000;;"";"";"";"";"";""
;00052;3;366,307499999831;7;PE;319;256;319;319;256;258;320,000000000000;258,000000000000;0,00000000000000;1,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;90,0000000000000;0,41676800000000;5,29909387219188E-02;;"";"";"";"";"";""
;00053;1;122,102499999944;7;PE;455;76;455;455;76;76;456,000000000000;77,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38688753265178;0,29318436143219;;"";"";"";"";"";""
;00054;1;122,102499999944;7;PE;481;597;481;481;597;597;482,000000000000;598,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39084010005795;1,66047101140303E-02;;"";"";"";"";"";""
;00055;1;122,102499999944;7;PE;510;650;510;510;650;650;511,000000000000;651,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40438755555556;0,13685302753502;;"";"";"";"";"";""
;00056;1;122,102499999944;7;PE;515;73;515;515;73;73;516,000000000000;74,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47966781777119;9,63871345182238E-02;;"";"";"";"";"";""
;00057;1;122,102499999944;7;PE;533;925;533;533;925;925;534,000000000000;926,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34115290706173;0,25231356620805;;"";"";"";"";"";""
;00058;2;244,204999999887;7;PE;608;811;608;609;811;811;610,000000000000;812,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,28614879870976;0,10774816227987;;"";"";"";"";"";""
;00059;1;122,102499999944;7;PE;613;665;613;613;665;665;614,000000000000;666,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43448888888889;1,07667709344170E-02;;"";"";"";"";"";""
;00060;1;122,102499999944;7;PE;684;242;684;684;242;242;685,000000000000;243,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45226666666667;5,52597867658049E-02;;"";"";"";"";"";""
;00061;1;122,102499999944;7;PE;731;807;731;731;807;807;732,000000000000;808,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43702234074074;0,15298432407668;;"";"";"";"";"";""
;00062;1;122,102499999944;7;PE;754;767;754;754;767;767;755,000000000000;768,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43767808000000;2,15737905756670E-02;;"";"";"";"";"";""
;00063;1;122,102499999944;7;PE;813;436;813;813;436;436;814,000000000000;437,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36702243847023;0,18177630557838;;"";"";"";"";"";""
;00064;2;244,204999999887;7;PE;848;309;848;848;309;310;849,000000000000;310,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,42880000000000;0,70488541684007;;"";"";"";"";"";""
;00065;1;122,102499999944;7;PE;924;598;924;924;598;598;925,000000000000;599,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43677910070782;0,19584114332717;;"";"";"";"";"";""
;00066;1;122,102499999944;8;PP;22;513;22;22;513;513;23,0000000000000;514,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46088871632593;0,25999804701436;;"";"";"";"";"";""
;00067;1;122,102499999944;9;POM;462;81;462;462;81;81;463,000000000000;82,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34802652986785;0,17920077157486;;"";"";"";"";"";""
;00068;1;122,102499999944;9;POM;482;204;482;482;204;204;483,000000000000;205,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35821843926626;9,01542426457027E-02;;"";"";"";"";"";""
;00069;16;1953,63999999910;9;POM;832;186;832;836;185;188;835,000000000000;188,000000000000;1,00000000000000;0,00000000000000;5,00000000000000;4,00000000000000;1,25000000000000;0,00000000000000;0,32689392679615;0,74841594290079;OK;"ja";"Fragment";"weiﬂ";"75";"72";""
;00070;18;2197,84499999899;12;PS;505;725;505;509;724;728;508,000000000000;727,000000000000;-0,52999894000318;0,84799830400509;5,45199109602674;4,92199215602352;1,10767976120291;122,005383208084;0,76776368878514;0,79775227489343;OK;"ja";"Kugel";"transparent";"93";"93";""
;00071;1;122,102499999944;18;EVOH;126;476;126;126;476;476;127,000000000000;477,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40923951407407;0,00000000000000;;"";"";"";"";"";""
