Data ID:;D:\mrolf2\ML2_5-20_1-64_4v5\ML-2_5-20_1-64_4v5.ilab
Date of Export:;2021-02-06 14:33:03
Classes:;24
Particles on File:;18341

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;1
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;1
;6;PVC;PVC;2
;7;PE;PE;34
;8;PP;PP;8
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;21
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;13777
;22;Non-Polymer;Non-Polymer;4495
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;69

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00020;1;122,102499999984;7;PE;568;872;568;568;872;872;569,000000000000;873,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49991111111111;0,16796030603830;;"";"";"";"";"";""
;00021;1;122,102499999984;7;PE;569;873;569;569;873;873;570,000000000000;874,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44202192676872;0,26534950693322;;"";"";"";"";"";""
;00022;3;366,307499999952;7;PE;583;783;583;584;782;783;585,000000000000;784,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118644;1,41421356237319;135,000000000000;0,68444444444444;0,59809594482767;OK;"ja";"Faser";"transparent";"940";"63";""
;00023;1;122,102499999984;7;PE;586;782;586;586;782;782;587,000000000000;783,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41992533333333;0,11763298902680;;"";"";"";"";"";""
;00024;1;122,102499999984;7;PE;587;768;587;587;768;768;588,000000000000;769,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49041653422881;1,75607413888028E-03;;"";"";"";"";"";""
;00025;6;732,614999999903;7;PE;588;764;588;590;764;767;590,000000000000;767,000000000000;0,40266324111015;0,91534819290731;3,74604457872192;3,23335962692482;1,15856106680119;66,2552235390004;0,56907627815822;9,43540496618333E-02;;"";"";"";"";"";""
;00026;1;122,102499999984;7;PE;589;763;589;589;763;763;590,000000000000;764,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41483851851852;0,10637183088599;;"";"";"";"";"";""
;00027;3;366,307499999952;7;PE;590;761;590;591;761;762;591,000000000000;762,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,40378298721975;2,03504213597359E-02;;"";"";"";"";"";""
;00028;44;5372,50999999929;7;PE;591;755;591;597;744;757;595,000000000000;752,000000000000;-0,23198818200002;0,97271860443415;14,3413064036440;5,12286259973655;2,79947121837340;103,414152642782;0,40888888888889;0,80491552849426;;"";"";"";"";"";""
;00029;1;122,102499999984;7;PE;596;742;596;596;742;742;597,000000000000;743,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44502357333333;0,82788111300656;;"";"";"";"";"";""
;00030;1;122,102499999984;7;PE;598;734;598;598;734;734;599,000000000000;735,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40910696296296;0,68330211299500;;"";"";"";"";"";""
;00031;1;122,102499999984;7;PE;629;70;629;629;70;70;630,000000000000;71,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52959004444444;0,11835365827045;;"";"";"";"";"";""
;00032;20;2442,04999999968;7;PE;650;344;650;655;343;346;653,000000000000;345,000000000000;0,93385426963807;-0,35765374746919;6,74223259059784;4,51687030385256;1,49267792454594;159,043825642493;0,62666666666667;0,85124013543525;OK;"ja";"Fragment";"grau";"170";"90";""
;00033;2;244,204999999968;7;PE;656;342;656;657;342;342;658,000000000000;343,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,56391111111111;0,63992916808724;;"";"";"";"";"";""
;00034;1;122,102499999984;7;PE;712;856;712;712;856;856;713,000000000000;857,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50666666666667;0,32767095245912;;"";"";"";"";"";""
;00035;9;1098,92249999986;7;PE;730;747;730;733;746;748;733,000000000000;748,000000000000;0,89442719099992;-0,44721359549996;4,57770876399962;2,78885438199973;1,64142982636376;153,434948822922;0,32660859259259;0,58695536149705;;"";"";"";"";"";""
