,Type,Color,Long,Short,Square,Comment,Polymer,st,Lon,Lat,Dens,Mass,Sea,Salinity,wm_new,width
64,Fibre,Blue,840,,12600,,Acryl_fibre,R-36,142.9543667,72.97000833,1.16,1.72191E-07,East Siberian Sea,18.5076,Outer Plume,15
65,Fibre,Blue,454,,6810,,Polyester_fibre,R-36,142.9543667,72.97000833,1.4,1.1232E-07,East Siberian Sea,18.5076,Outer Plume,15
66,Fibre,Blue,309,,4635,,Polyester_fibre,R-36,142.9543667,72.97000833,1.4,7.64467E-08,East Siberian Sea,18.5076,Outer Plume,15
67,Fibre,Blue,161,,2415,,Polyester_fibre,R-36,142.9543667,72.97000833,1.4,3.98315E-08,East Siberian Sea,18.5076,Outer Plume,15
68,Fibre,Blue,206,,3090,,Polyester_fibre,R-36,142.9543667,72.97000833,1.4,5.09645E-08,East Siberian Sea,18.5076,Outer Plume,15
69,Fibre,gray,2055,,30825,,Polyester_fibre,R-36,142.9543667,72.97000833,1.4,5.08408E-07,East Siberian Sea,18.5076,Outer Plume,15
70,Fibre,yellow,637,,9555,,Acryl_fibre,R-36,142.9543667,72.97000833,1.16,1.30578E-07,East Siberian Sea,18.5076,Outer Plume,15
71,Fibre,Blue,5146,,77190,,Polyester_fibre,R-37,140.0484333,72.9711,1.4,1.27312E-06,East Siberian Sea,21.3527,Outer Plume,15
72,Fibre,Gray,253,,3795,,Polyester_fibre,R-37,140.0484333,72.9711,1.4,6.25923E-08,East Siberian Sea,21.3527,Outer Plume,15
74,Fibre,Blue,1212,,18180,,Polyester_fibre,R-39,130.4045333,73.11263333,1.4,2.99849E-07,Laptev Sea,13.9146,Inner Plume,15
75,Fibre,Blue,453,,6795,,Polyester_fibre,R-39,130.4045333,73.11263333,1.4,1.12072E-07,Laptev Sea,13.9146,Inner Plume,15
76,Fibre,Blue,356,,5340,,Polyester_fibre,R-39,130.4045333,73.11263333,1.4,8.80746E-08,Laptev Sea,13.9146,Inner Plume,15
77,Fibre,Blue,4908,,73620,,Polyester_fibre,R-40,130.2682667,73.34750833,1.4,1.21424E-06,Laptev Sea,13.6985,Inner Plume,15
78,Fibre,Blue,818,,12270,,Acryl_fibre,R-42,127.7962333,74.96701667,1.16,1.67681E-07,Laptev Sea,16.6213,Outer Plume,15
79,Fibre,pink,2627,,39405,,Polyester_fibre,R-42,127.7962333,74.96701667,1.4,6.49921E-07,Laptev Sea,16.6213,Outer Plume,15
80,Fibre,Blue,162,,2430,,Acryl_fibre,R-43,127.9775917,75.10531667,1.16,3.32082E-08,Laptev Sea,18.2819,Outer Plume,15
81,Fibre,Blue,707,,10605,,Polyester_fibre,R-44,127.302225,75.8033,1.4,1.74912E-07,Laptev Sea,21.7494,Outer Plume,15
82,Fibre,Blue,587,,8805,,Polyester_fibre,R-44,127.302225,75.8033,1.4,1.45224E-07,Laptev Sea,21.7494,Outer Plume,15
83,Fragment,gray,1013,121(30),54000,,SAN,R-44,127.302225,75.8033,1.08,1.7496E-06,Laptev Sea,21.7494,Outer Plume,30
84,Fragment,white,185,56,10360,,PS,R-44,127.302225,75.8033,1.1,3.4188E-07,Laptev Sea,21.7494,Outer Plume,30
85,Fibre,Blue,345,,5175,,Polyester_fibre,R-49,127.1770167,76.95890833,1.4,8.53531E-08,Laptev Sea,30.1518,Polar surface water,15
86,Fibre,Blue,176,,2640,,Polyester_fibre,R-49,127.1770167,76.95890833,1.4,4.35425E-08,Laptev Sea,28.9532,Polar surface water,15
87,Fibre,Blue,740,,11100,,PTFE,R-50,124.3865083,77.22625833,2.2,2.87691E-07,Laptev Sea,30.1467,Polar surface water,15
88,Fibre,pink,1776,,26640,,Polyester_fibre,R-51,113.2293083,77.592725,1.4,4.39383E-07,Laptev Sea,30.7678,Polar surface water,15
89,Fragment,gray,121,56,4384,,PUR,R-51,113.2293083,77.592725,1.2,1.05216E-07,Laptev Sea,30.7678,Polar surface water,20
90,Fragment,gray,78,78,3600,,Phenoxy resin,R-51,113.2293083,77.592725,1.18,8.496E-08,Laptev Sea,30.7678,Polar surface water,20
91,Fragment,white,135,118,16000,,PS,R-52,104.1837833,77.961375,1.1,0.000000528,Kara Sea,30.7952,Polar surface water,30
92,Fragment,white,435,133,52000,,PPPO,R-54,88.94971667,76.16881667,1.06,1.6536E-06,Kara Sea,29.2829,Polar surface water,30
93,Fragment,yellow,215,182,31000,bead,PPPO,R-54,88.94971667,76.16881667,1.06,0.000001643,Kara Sea,29.2829,Polar surface water,50
94,Fragment,transp,760,415,225400,film,SAN,R-54,88.94971667,76.16881667,1.08,4.86864E-06,Kara Sea,29.2829,Polar surface water,20
95,Fibre,Blue,544,,8160,,Polyester_fibre,R-56,69.45726667,73.31676667,1.4,1.34586E-07,Kara Sea,30.8761,Atlantic surface water,15
96,Fibre,pink,1327,,19905,,Acryl_fibre,R-56,69.45726667,73.31676667,1.16,2.7202E-07,Kara Sea,30.8761,Atlantic surface water,15
97,Fragment,gray,424,53,22500,,PP,R-56,69.45726667,73.31676667,0.946,4.257E-07,Kara Sea,30.8761,Atlantic surface water,20
99,Fibre,Blue,236,,3540,,Polyester_fibre,R-57,64.134225,72.525125,1.4,5.83865E-08,Kara Sea,32.0611,Atlantic surface water,15
100,Fibre,Blue,286,,4290,,Polyester_fibre,R-57,64.134225,72.525125,1.4,7.07565E-08,Kara Sea,32.0611,Atlantic surface water,15
101,Fibre,pink,187,,2805,,Polyester_fibre,R-57,64.134225,72.525125,1.4,4.62639E-08,Kara Sea,32.0611,Atlantic surface water,15
102,Fragment,white,510,32,16000,,PS,R-58,61.568175,71.72001667,1.1,0.000000352,Kara Sea,32.0728,Atlantic surface water,20
103,Fragment,green,138,138,20000,,PVC,R-58,61.568175,71.72001667,1.45,0.00000058,Kara Sea,32.0728,Atlantic surface water,20
104,Fibre,Blue,1684,,25260,,Polyester_fibre,R-59,58.38671667,70.78020833,1.4,4.16622E-07,Kara Sea,28.2166,Atlantic surface water,15
105,Fragment,white/gray,272,176,45600,,PUR,R-59,58.38671667,70.78020833,1.2,1.6416E-06,Kara Sea,28.2166,Atlantic surface water,30
106,Fragment,white/gray,145,60,9500,,PUR,R-59,58.38671667,70.78020833,1.2,0.000000342,Kara Sea,28.2166,Atlantic surface water,30
107,Fragment,white,197,124,215000,,PTFE,R-59,58.38671667,70.78020833,2.2,0.00000946,Kara Sea,28.2166,Atlantic surface water,20
108,Fragment,yellow,294,103,24000,,PVC,R-59,58.38671667,70.78020833,1.45,0.000000696,Kara Sea,28.2166,Atlantic surface water,20
109,Fibre,blue,100,,1500,,Acryl_fibre,R-60,50.71416667,69.82166667,1.16,2.04989E-08,Barents Sea,33.8402,Atlantic surface water,15
110,Fibre,blue,823,,12345,,Polyester_fibre,R-61,43.29680556,68.16833333,1.4,2.03611E-07,Barents Sea,31.5904,Atlantic surface water,15
