MP identifier,Coordinates [pixels],Coordinates [µm],,,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng],Sampling_Site,Sample_replicate,Sampling_Period
MP_24,[1497,1217],[8234,6694],pp,154,4658.5,132.3,44.8,83564.016,79.38581,Kallokoski (S2),1,July2021
MP_25,[1629,602],[8960,3311],pp,607,18361.8,358.3,33.2,531014.344,504.46363,Kallokoski (S2),1,July2021
MP_4,[97,784],[534,4312],pp,274,8288.5,131.3,80.4,266472.781,253.14914,Kallokoski (S2),1,July2021
MP_5,[1152,972],[6336,5346],pp,26,786.5,45,22.3,7006.253,6.65594,Kallokoski (S2),1,July2021
MP_6,[1242,1069],[6831,5880],pp,157,4749.3,117.5,51.4,97731.93,92.84534,Kallokoski (S2),1,July2021
MP_7,[1246,1055],[6853,5803],pp,55,1663.8,90.3,23.5,15619.198,14.83824,Kallokoski (S2),1,July2021
MP_8,[1658,137],[9119,754],pp,11,332.8,30.1,14.1,1873.642,1.77996,Kallokoski (S2),1,July2021
MP_9,[342,1535],[1881,8443],pp,5,151.3,22.9,8.4,508.941,0.48349,Kallokoski (S2),1,July2021
MP_10,[748,1748],[4114,9614],pp,49,1482.3,70,27,15992.121,15.19251,Kallokoski (S2),1,July2021
MP_11,[1764,939],[9702,5165],pp,265,8016.3,195.3,52.3,167573.469,159.1948,Kallokoski (S2),1,July2021
MP_12,[1225,831],[6738,4571],pp,44,1331,56.2,30.2,16052.107,15.2495,Kallokoski (S2),1,July2021
MP_13,[206,1004],[1133,5522],pp,22,665.5,50.9,16.7,4435.471,4.2137,Kallokoski (S2),1,July2021
MP_14,[280,1728],[1540,9504],pp,19,574.8,35.1,20.8,4790.638,4.55111,Kallokoski (S2),1,July2021
MP_15,[485,743],[2668,4087],pp,339,10254.8,155.2,84.1,345169.563,327.91109,Kallokoski (S2),1,July2021
MP_16,[478,427],[2629,2349],pp,230,6957.5,165.2,53.6,149243.078,141.78092,Kallokoski (S2),1,July2021
MP_17,[651,1486],[3581,8173],pp,22,665.5,52.5,16.1,4297.075,4.08222,Kallokoski (S2),1,July2021
MP_18,[1056,403],[5808,2217],pp,50,1512.5,83,23.2,14039.144,13.33719,Kallokoski (S2),1,July2021
MP_19,[178,1597],[979,8784],pp,6,181.5,21.1,11,796.783,0.75694,Kallokoski (S2),1,July2021
MP_20,[748,811],[4114,4461],pp,18,544.5,56.2,12.3,2686.406,2.55209,Kallokoski (S2),1,July2021
MP_21,[1145,1843],[6298,10137],pp,270,8167.5,163,63.8,208456.297,198.03348,Kallokoski (S2),1,July2021
MP_22,[1293,924],[7112,5082],pp,157,4749.3,108.3,55.8,106074.492,100.77077,Kallokoski (S2),1,July2021
MP_23,[1998,971],[10989,5341],pp,122,3690.5,119.8,39.2,57899.301,55.00434,Kallokoski (S2),1,July2021
MP_24,[1798,851],[9889,4681],pp,13,393.3,33,15.2,2386.677,2.26734,Kallokoski (S2),1,July2021
MP_25,[1864,554],[10252,3047],pp,117,3539.3,83.5,53.9,76365.328,72.54706,Kallokoski (S2),1,July2021
MP_17,[597,1551],[3284,8531],ps,60,1815,62.5,37,26833.531,27.90687,Kallokoski (S2),1,July2021
MP_11,[376,1571],[2068,8641],ps,27,816.8,61.2,17,5552.984,5.7751,Kallokoski (S2),1,July2021
MP_12,[1865,1447],[10258,7959],ps,17,514.3,36.6,17.9,3678.637,3.82578,Kallokoski (S2),1,July2021
