transect_id;horizon_wrb;from;to;colour_horizon
1;Ah;0;27;10YR 3/2
1;C;27;33;10YR 6/3
1;C2;33;40;10YR 6/3
2;Ah;0;30;10YR 3/2
2;Bw;30;55;10YR 4/3
2;C;55;70;10YR 5/3
3;Ah;0;10;10YR 3/2
3;Bw;10;30;10YR 4/2
3;C;30;42;10YR 4/2
3;Ah II;42;55;10YR 3/1
3;Bw II;55;71;10YR 4/2
3;C II;71;100;10YR 7/3
