sample_id;transect_id;horizon_wrb;description;colour;depth_average;depth_min;depth_max;mean_grain_size;sorting_grain_size;very_coarse_sand_proportion;coarse_sand_proportion;medium_sand_proportion;fine_sand_proportion;very_fine_sand_proportion;very_coarse_silt_proportion;coarse_silt_proportion;medium_silt_proportion;fine_silt_proportion;very_fine_silt_proportion;clay_proportion;n_tot_1_percent;n_tot_2_percent;c_tot_1_percent;c_tot_2_percent;soc_1_percent;soc_2_percent
transect3_28_30;3;Bw;NA;10YR 4/2;29;28;30;8117;4961;0;0;0.001111575;0.02835938;0.060753565;0.121452307;0.139193548;0.173785229;0.156780136;0.126325573;0.192238686;0.3;0.32;4.9;4.93;3.82;3.84
transect3_30_35;3;C;NA;10YR 4/2;32.5;30;35;8073;4967;0;0;0.002154146;0.028649871;0.059558018;0.119948367;0.138090362;0.174159703;0.157244933;0.127350114;0.192844486;0.32;0.33;5.33;5.34;4.18;4.14
transect3_35_40;3;C;NA;10YR 4/2;37.5;35;40;9728;4935;0;0;0.000647543;0.031515421;0.072803435;0.15568382;0.15360197;0.164140356;0.140712625;0.111318492;0.169576338;0.29;0.29;5.62;5.63;4.56;4.56
transect3_40_45;3;C;NA;10YR 4/2;42.5;40;45;11;5704;0;0;0.000792898;0.060923713;0.103672286;0.128686016;0.133725059;0.157282874;0.135601861;0.107853076;0.171462216;0.29;0.29;7.11;7.04;5.89;5.9
transect3_45_50;3;Ah II;palaeosoil ;10YR 3/1;47.5;45;50;11.72;4723;0;0;0.000876351;0.039078185;0.092547412;0.161220257;0.160785514;0.168328513;0.1375595;0.100607927;0.138996343;0.27;0.28;7.14;7.16;5.89;5.86
transect3_50_55;3;Ah II;palaeosoil;10YR 3/1;52.5;50;55;13.69;5.09;0;0;0.001435048;0.066948748;0.10612864;0.16314882;0.15463633;0.156902621;0.126319146;0.09355201;0.130928636;0.25;0.24;6.65;6.62;5.35;5.4
transect3_55_60;3;Bw II;palaeosoil;10YR 4/2;57.5;55;60;14.72;4864;0;0;0.006274677;0.077494118;0.098301566;0.142676808;0.150932393;0.18369553;0.143600806;0.091259757;0.105764346;0.2;0.2;4.95;4.94;3.62;3.59
transect3_60_65;3;Bw II;palaeosoil;10YR 4/2;62.5;60;65;20.1;6307;0;0.010395093;0.054057687;0.108330526;0.106459433;0.141643716;0.12797192;0.135720023;0.113723051;0.085520409;0.116178143;0.19;0.19;4.63;4.61;3.26;3.27
transect3_65_70;3;Bw II;palaeosoil;10YR 4/2;67.5;65;70;26.31;7696;0;0.010731955;0.127117449;0.151053943;0.088564819;0.107089359;0.101217352;0.113410744;0.097242145;0.079514799;0.124057436;0.17;0.16;4.07;4.06;2.74;2.75
transect3_70_75;3;C II;palaeosoil;10YR 7/3;72.5;70;75;97.24;5398;0;0.019955596;0.383966508;0.291024322;0.05372246;0.040120569;0.036648768;0.042514574;0.038882498;0.033029649;0.060135056;0.07;0.08;2.07;2.05;1.27;1.25
transect3_75_85;3;C II;palaeosoil;10YR 7/3;80;75;85;242.2;2329;0;0.019255538;0.539420433;0.306843799;0.034586006;0.017226616;0.013924912;0.016518228;0.014736879;0.013036589;0.024451001;0.07;0.06;1.82;1.8;1.16;1.17
transect3_85_95;3;C II;palaeosoil;10YR 7/3;90;85;95;218.4;2415;0;0.027376766;0.449732264;0.357587213;0.06036938;0.02321368;0.014797214;0.016505762;0.014625755;0.012695789;0.023096179;0.05;0.06;1.76;1.96;0.97;1.08
