"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","Min","Q5","Q25","Mean","Mode","Q75","Q95","Max"
"2","0.0108929990910356","0.185934066099101","1.41773779838482","4.9547711527269","0.563730914023474","7.57606524724981","10.7116875478578","16.4771324862406"
