"","rowid","source","doi","article","fed","tech.a1","tech.a2","tech.a3","tech.a4","tech.a5","tech.a6","tech.1","tech.2","tech.3","tech.4","tech.5","tech.6","tech.7","tech.8","tech.9","tech.10","tech.11","tech.12","risk.b1","risk.13","risk.14","risk.15","risk.16","risk.17","risk.18","risk.19","risk.20","technical.quality","risk.quality","authors","year","Species","Group","env_f","life_f","vivo_f","sex","exp_type_f","exposure.route","mix","negative.control","reference.material","exposure.media","solvent","detergent","media.sal.ppt","media.ph","media.temp","media.temp.min","media.temp.max","exposure.duration.d","Recovery (Days)","treatments","treatment_range","replicates","dosing.frequency","sample.size","dose.particles.mL.nominal","dose.mg.L.nominal","dose.particles.mL.measured","dose.mg.L.measured","dose.particles.mL.master","dose.particles.mL.master.converted.reported","dose.mg.L.master","dose.mg.L.master.converted.reported","chem.add.nominal","chem.add.dose.mg.L.nominal","chem.add.measured","chem.add.dose.mg.L.measured","dose.mg.kg.sediment.master","dose.mg.kg.sediment.master.converted.reported","dose.particles.kg.sediment.master","dose.particles.kg.sediment.master.converted.reported","nominal.dose.mg.kg.sediment","nominal.dose.particles.kg.sediment","measured.dose.mg.kg.sediment","measured.dose.particles.kg.sediment","Nominal Dose Alternative Category","Nominal Dose Alternative Type","Nominal Dose Alternative Type Units","Measured Dose Alternative Category","Measured Dose Alternative Type","Measured Dose Alternative Type Units","effect_f","effect.metric","direction","lvl1_f","lvl2_f","lvl3_f","bio_f","target.cell.tissue","poly_f","density.g.cm3","density.reported.estimated","shape_f","charge","zetapotential.mV","zetapotential.media","size.length.um.used.for.conversions","size.width.um.used.for.conversions","size_f","functional.group","size.length.mm.nominal","size.length.min.mm.nominal","size.length.max.mm.nominal","size.length.mm.measured","size.length.min.mm.measured","size.length.max.mm.measured","size.width.mm.nominal","size.width.min.mm.nominal","size.width.max.mm.nominal","size.width.mm.measured","size.width.min.mm.measured","size.width.max.mm.measured","size.height.mm.nominal","size.height.min.mm.nominal","size.height.max.mm.nominal","size.height.mm.measured","size.height.min.mm.measured","size.height.max.mm.measured","weather.biofoul_f","size.valid","shape.valid","polymer.valid","particle.source","sodium.azide","contaminant.screen","clean.method","sol.rinse","background.plastics","concentration.valid","particle.behavior","uptake.valid","uptake.valid.method","tissue.distribution","total.quality","tier_zero_tech_f","tier_zero_risk_f","af.time","acute.chronic_f","af.noec","R.ave","polydispersity","size.length.min.um.used.for.conversions","size.width.min.um.used.for.conversions","size.height.min.um.used.for.conversions","size.length.max.um.used.for.conversions","size.width.max.um.used.for.conversions","size.height.max.um.used.for.conversions","H_W_ratio","size.height.um.used.for.conversions","particle.volume.um3","particle.volume.um3.min","particle.volume.um3.max","particle.surface.area.um2","particle.surface.area.um2.min","particle.surface.area.um2.max","mass.per.particle.mg.min","mass.per.particle.mg.max","mass.per.particle.mg","dose.um3.mL.master","dose.um3.kg.sediment.master","dose.um2.mL.master","dose.um2.kg.sediment.master","dose.um2.ug.mL.master","dose.um2.ug.kg.sediment.master","body.length.cm","body.size.source","max.size.ingest.mm","max.size.ingest.um","max.size.ingest.reported.estimated","DOM_present","median_temp","body.length.mm","dose.particles.mL.AF.corrected","dose.particles.L","nanoparticle_polydisperse"
"1","6291ba71-c760-4ba8-a363-d567da143306","Koelmans,Rochman","10.1021/acs.est.7b03574",113,"Yes",2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,2,2,2,2,2,2,1,0,2,1,18,12,"Ziajahromi",2017,"Ceriodaphnia dubia","Crustacea","Freshwater","early","In Vivo","Not Reported","Particle Only","water","No","Y","N","water","Not Reported","tween20",NA,NA,25,NA,NA,8,NA,6,"6","4",1,"5",NA,0.5,16,NA,16,"reported",0.5,"reported","Not Reported",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","NOEC","Not Reported","Fitness","Reproduction","Number of Offspring","Organism","Not Reported","Polyethylene",0.987,"reported","Sphere",NA,NA,NA,2,2,"1µm < 100µm",NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","N","N","N","commercial","unknown","N","not_cleaned","none","N","Y","none","Y","microscopy","gut",30,"Red Criteria Passed","Red Criteria Passed",10,"Acute",1,0.67,"monodisperse",NA,NA,NA,NA,NA,NA,0.67,2,2.80648943720688,NA,NA,9.91642640004795,NA,NA,NA,NA,2.77000507452319e-09,44.9038309953101,NA,158.662822400767,NA,57278892324079.3,NA,0.14,"Koelmans 2020",0.103871929280285,103.871929280285,NA,"No",20,1.4,1.6,1600,"don't filter out"
"2","a43b1c26-d670-4f6b-8c3a-cf7b054d0a8a","Koelmans","10.1016/j.envpol.2019.03.085",41,"Yes",2,2,2,2,2,2,1,2,1,2,1,0,0,0,1,1,1,2,2,2,2,1,1,0,1,1,2,12,10,"Jaikumar",2019,"Ceriodaphnia dubia","Crustacea","Freshwater","early","In Vivo","Not Reported","Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,"7",26,NA,NA,7,NA,4,"4","12",1,"1",NA,NA,100,NA,100,"reported",0.001338067,"converted","Not Reported",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","NOEC","Not Reported","Fitness","Reproduction","First Three Clutch Sizes","Organism","Not Reported","Polyethylene",0.96,"reported","Fragment",NA,NA,NA,5.5,NA,"1µm < 100µm",NA,NA,0.001,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","N","Y","N","modified","unknown","N","rinse","milliq water","N","Y","Not Evaluated","N",NA,NA,22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",1,0.67,"polydisperse",1,0.67,0.4489,10,6.7,4.489,0.67,NA,26.2005916754695,0.157479138545271,157.479138545271,46.3417771515053,1.53195957525638,153.195957525638,1.5117997300346e-10,1.5117997300346e-07,2.51525680084507e-08,2620.05916754695,NA,4634.17771515053,NA,184242726770227,NA,0.14,"Koelmans 2020",0.103871929280285,103.871929280285,NA,"No",20,1.4,10,10000,"don't filter out"
