;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;Länge;Breite
gr500um_ML2_nass_5-20cm_Markus_001;1;Kugel;weiß;PS;1;;Hannah;25.01.2020;586;586
gr500um_ML2_nass_5-20cm_Markus_002;1;Fragment;blau;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_003;1;Kugel;transparent;PS;1;;Hannah;25.01.2020;561;557
gr500um_ML2_nass_5-20cm_Markus_004;1;Kugel;transparent;PS;1;;Hannah;25.01.2020;346;326
gr500um_ML2_nass_5-20cm_Markus_005;1;Faser;rot;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_006;1;Fragment;beige;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_007;1;Fragment;transparent;x;x;2x gem;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_008;1;Fragment;beige;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_009;1;Kugel;weiß;PS;1;;Hannah;25.01.2020;786;751
gr500um_ML2_nass_5-20cm_Markus_010;1;Kugel;schwarz;x;x;zerbrochen;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_011;1;Kugel;weiß;PS;1;;Hannah;25.01.2020;905;880
gr500um_ML2_nass_5-20cm_Markus_012;1;Kugel;weiß;PS;1;;Hannah;25.01.2020;750;757
gr500um_ML2_nass_5-20cm_Markus_013;1;Fragment;beige;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_014;1;Fragment;transparent;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_015;1;Fragment;weiß;PE;1;;Hannah;25.01.2020;1548;529
gr500um_ML2_nass_5-20cm_Markus_016;1;Fragment;beige;PVC;1;;Hannah;25.01.2020;1319;1286
gr500um_ML2_nass_5-20cm_Markus_017;1;Kugel;transparent;PS;1;;Hannah;25.01.2020;567;534
gr500um_ML2_nass_5-20cm_Markus_018;1;Fragment;braun;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_019;1;Fragment;transparent;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_020;1;Fragment;transparent;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_021;1;Fragment;beige;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_022;1;Fragment;weiß;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_023;1;Fragment;rot;PE;1;;Hannah;25.01.2020;1612;666
gr500um_ML2_nass_5-20cm_Markus_024;1;Kugel;weiß;PMMA;1;;Hannah;25.01.2020;514;591
gr500um_ML2_nass_5-20cm_Markus_025;1;Fragment;blau;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_026;1;Fragment;transparent;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_027;1;Fragment;transparent;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_028;1;Fragment;transparent;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_029;1;Fragment;beige;x;x;;Hannah;25.01.2020;;
gr500um_ML2_nass_5-20cm_Markus_030;1;Fragment;braun;x;x;;Hannah;25.01.2020;;
