;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;Länge;Breite
gr500um_ML3_5-20cm_Markus_001;1;Kugel;transparent;PMMA;1;;Hannah;27.01.2020;732;632
gr500um_ML3_5-20cm_Markus_002;1;Kugel;transparent;PMMA;1;;Hannah;27.01.2020;837;722
gr500um_ML3_5-20cm_Markus_003;1;Kugel;weiß;PS;1;;Hannah;27.01.2020;678;685
gr500um_ML3_5-20cm_Markus_004;1;Kugel;transparent;PMMA;1;;Hannah;27.01.2020;602;586
gr500um_ML3_5-20cm_Markus_005;1;Kugel;transparent;PMMA;1;;Hannah;27.01.2020;528;522
gr500um_ML3_5-20cm_Markus_006;1;Fragment;weiß;PE;1;;Hannah;27.01.2020;1140;912
gr500um_ML3_5-20cm_Markus_007;1;Fragment;grün;x;x;;Hannah;27.01.2020;;
gr500um_ML3_5-20cm_Markus_008;1;Fragment;rot;PE;1;;Hannah;27.01.2020;877;595
gr500um_ML3_5-20cm_Markus_009;1;Faser;schwarz;x;x;;Hannah;27.01.2020;;
gr500um_ML3_5-20cm_Markus_010;1;Kugel;transparent;PMMA;1;;Hannah;27.01.2020;653;693
gr500um_ML3_5-20cm_Markus_011;1;Faser;beige;PET;1;;Hannah;27.01.2020;;
