Data ID:;D:\mrolf2\ML3.3_5-20\NO2-1\ML3.3_5-20_NO.2-1.ilab
Date of Export:;2020-07-10 11:06:20
Classes:;24
Particles:;3856

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;22
;2;PET;PET;4
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;0
;6;PVC;PVC;35
;7;PE;PE;43
;8;PP;PP;7
;9;POM;POM;0
;10;ABS;ABS;2
;11;PAN;PAN;0
;12;PS;PS;2
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;1
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;3734
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00022;1;1;PU;984;546;984;984;546;546;985,000000000000;547,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37505689810700;0,17491472165594;;"";"";"";"";"";""
;00023;1;2;PET;156;308;156;156;308;308;157,000000000000;309,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36069604616753;0,13679228019547;;"";"";"";"";"";""
;00024;5;2;PET;327;768;327;329;767;769;329,000000000000;769,000000000000;0,82806723046927;-0,56062880930518;3,21676327024369;2,38869603977446;1,34666077922054;145,900704743176;0,89668266666667;0,78530766349495;OK;"ja";"Fragment";"";"57";"51";""
;00025;4;2;PET;533;321;533;535;320;321;535,000000000000;322,000000000000;0,94868329805051;-0,31622776601684;3,21359436211787;1,94868329805053;1,64911064067351;161,565051177078;0,58453196437213;0,39929743853923;;"";"";"";"";"";""
;00026;5;2;PET;546;970;546;548;969;971;548,000000000000;971,000000000000;0,82806723046927;-0,56062880930518;3,21676327024369;2,38869603977446;1,34666077922054;145,900704743176;0,45317549992587;0,68423965364024;OK;"ja";"Fragment";"";"64";"58";""
;00027;1;4;PC;116;510;116;116;510;510;117,000000000000;511,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49196261409712;0,21894285670031;;"";"";"";"";"";""
;00028;2;4;PC;248;731;248;249;731;731;250,000000000000;732,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,22722598462350;0,25247958267927;;"";"";"";"";"";""
;00029;1;4;PC;561;232;561;561;232;232;562,000000000000;233,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32650764025047;0,27638929187180;;"";"";"";"";"";""
;00030;1;6;PVC;165;337;165;165;337;337;166,000000000000;338,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35577374593580;0,34211767296029;;"";"";"";"";"";""
;00031;2;6;PVC;168;657;168;169;657;657;170,000000000000;658,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,45507822511934;0,24499084732035;OK;"ja";"Fragment";"";"175";"136";""
;00032;1;6;PVC;169;339;169;169;339;339;170,000000000000;340,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,72987022222222;0,44098510614923;OK;"ja";"Fragment";"";"113";"80";""
