Data ID:;D:\mrolf2\ML3.1_5-20_1-16_4v4\ML3.1_5-20_1-16_4v4.ilab
Date of Export:;2020-06-30 11:13:19
Classes:;24
Particles:;30642

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;2
;2;PET;PET;0
;3;PA;PA;1
;4;PC;PC;2
;5;PMMA;PMMA;10
;6;PVC;PVC;0
;7;PE;PE;41
;8;PP;PP;40
;9;POM;POM;3
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;18
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;23803
;22;Non-Polymer;Non-Polymer;6721
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00022;1;7;PE;187;517;187;187;517;517;188,000000000000;518,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41365837748148;0,43005608020494;;"";"";"";"";"";""
;00023;2;7;PE;187;521;187;188;521;521;188,000000000000;522,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,45032819674074;0,63194162000448;;"";"";"";"";"";""
;00024;1;7;PE;188;516;188;188;516;516;189,000000000000;517,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,13634468941833;0,38565778795692;;"";"";"";"";"";""
;00025;293;7;PE;234;547;234;250;545;569;243,000000000000;558,000000000000;0,36654969462318;0,93039847451060;26,9670118585809;15,8302786403590;1,70350835075189;68,4970152814850;1,00000000000000;0,90436071980614;OK;"ja";"Fragment";"transparent";"366";"196";""
;00026;1;7;PE;238;568;238;238;568;568;239,000000000000;569,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44089837037037;0,54216072916834;;"";"";"";"";"";""
;00027;1;7;PE;305;515;305;305;515;515;306,000000000000;516,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46792222593580;0,52600927220361;;"";"";"";"";"";""
;00028;6;7;PE;306;512;306;308;512;514;308,000000000000;514,000000000000;0,41785680953171;0,90851289849291;3,65273941604926;2,81702579698583;1,29666523464486;65,3006473225022;0,47868965925926;0,54901010151654;OK;"ja";"Fragment";"transparent";"89";"65";""
;00029;1;7;PE;309;512;309;309;512;512;310,000000000000;513,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,68401540740741;0,27953674399134;;"";"";"";"";"";""
;00030;2;7;PE;310;513;310;310;513;514;311,000000000000;514,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,38478503470775;6,44680103476842E-02;;"";"";"";"";"";""
;00031;2;7;PE;323;185;323;324;185;185;324,000000000000;186,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,31028275338781;0,25084384718276;;"";"";"";"";"";""
