Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_2v5\ML1.1_5-20_1-32_2v5.ilab
Date of Export:;2021-02-06 11:43:03
Classes:;24
Particles on File:;2421

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;12
;2;PET;PET;3
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;12
;6;PVC;PVC;10
;7;PE;PE;77
;8;PP;PP;37
;9;POM;POM;0
;10;ABS;ABS;2
;11;PAN;PAN;0
;12;PS;PS;12
;13;PBT;PBT;0
;14;PPSU;PPSU;2
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;1
;18;EVOH;EVOH;4
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;2246
;23;PLA;PLA;1
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;175

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00020;2;244,204999999887;5;PMMA;378;134;378;379;134;134;380,000000000000;135,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,55353812933004;0,35087353165004;;"";"";"";"";"";""
;00021;1;122,102499999944;5;PMMA;378;149;378;378;149;149;379,000000000000;150,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52698500970724;0,53100461438874;;"";"";"";"";"";""
;00022;1;122,102499999944;5;PMMA;380;132;380;380;132;132;381,000000000000;133,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53280676191346;0,46605721976052;;"";"";"";"";"";""
;00025;4;488,409999999775;5;PMMA;389;134;389;391;133;134;391,000000000000;134,000000000000;0,85065080835204;-0,52573111211913;3,22703272882325;1,85065080835204;1,74372859226579;148,282525588539;0,26984436831012;0,44528714070428;;"";"";"";"";"";""
;00026;1;122,102499999944;5;PMMA;391;135;391;391;135;135;392,000000000000;136,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53779911111111;0,51953311922419;;"";"";"";"";"";""
;00027;1;122,102499999944;5;PMMA;393;137;393;393;137;137;394,000000000000;138,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41673300183539;0,43156210032974;;"";"";"";"";"";""
;00028;1;122,102499999944;5;PMMA;678;884;678;678;884;884;679,000000000000;885,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38221638921481;9,78293715371443E-02;;"";"";"";"";"";""
;00029;1;122,102499999944;5;PMMA;679;883;679;679;883;883;680,000000000000;884,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29661288439572;0,28096141585621;;"";"";"";"";"";""
;00030;1;122,102499999944;5;PMMA;706;537;706;706;537;537;707,000000000000;538,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34295684700204;0,18169746638633;;"";"";"";"";"";""
;00031;2;244,204999999887;6;PVC;384;618;384;385;618;618;386,000000000000;619,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,45591836953495;0,19802936454722;;"";"";"";"";"";""
