;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;Länge;Breite
gr500um_ML1_nass_5-20cm_Markus_001;1;Faser;beige;PA;1;;Hannah;24.01.2020;15908;92
gr500um_ML1_nass_5-20cm_Markus_002;1;Fragment;weiß;PE;1;;Hannah;24.01.2020;9480;499
gr500um_ML1_nass_5-20cm_Markus_003;1;Fragment;transparent;x;x;2x gem;Hannah;24.01.2020;;
gr500um_ML1_nass_5-20cm_Markus_004;1;Fragment;rot;x;x;;Hannah;24.01.2020;;
gr500um_ML1_nass_5-20cm_Markus_005;1;Kugel;transparent;PMMA;1;zerbrochen;Hannah;24.01.2020;934;919
gr500um_ML1_nass_5-20cm_Markus_006;1;Fragment;beige;x;x;;Hannah;24.01.2020;;
gr500um_ML1_nass_5-20cm_Markus_007;1;Faser;schwarz;x;x;;Hannah;24.01.2020;;
gr500um_ML1_nass_5-20cm_Markus_008;1;Fragment;beige;x;x;;Hannah;24.01.2020;;
gr500um_ML1_nass_5-20cm_Markus_009;1;Faser;schwarz;PET;1;2x gem;Hannah;24.01.2020;5569;46
gr500um_ML1_nass_5-20cm_Markus_010;1;Fragment;weiß;PP;1;;Hannah;24.01.2020;401;382
gr500um_ML1_nass_5-20cm_Markus_011;1;Fragment;transparent;x;x;;Hannah;24.01.2020;;
gr500um_ML1_nass_5-20cm_Markus_012;1;Fragment;beige;x;x;;Hannah;24.01.2020;;
gr500um_ML1_nass_5-20cm_Markus_013;1;Faser;beige;PET;1;;Hannah;24.01.2020;5995;69
gr500um_ML1_nass_5-20cm_Markus_014;1;Fragment;weiß;PET;1;;Hannah;24.01.2020;1355;736
gr500um_ML1_nass_5-20cm_Markus_015;1;Fragment;weiß;PE;1;;Hannah;24.01.2020;1980;924
gr500um_ML1_nass_5-20cm_Markus_016;1;Fragment;grau;PE;1;;Hannah;24.01.2020;1281;537
gr500um_ML1_nass_5-20cm_Markus_017;1;Faser;weiß;PVC;1;;Hannah;24.01.2020;65000;1000
gr500um_ML1_nass_5-20cm_Markus_018;1;Faser;schwarz;x;x;;Hannah;24.01.2020;;
