Data ID:;D:\mrolf2\ML3.3_5-20\NO1-1\ML3.3_5-20_NO1-1.ilab
Date of Export:;2020-07-10 11:00:24
Classes:;24
Particles:;4182

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;23
;2;PET;PET;9
;3;PA;PA;1
;4;PC;PC;2
;5;PMMA;PMMA;2
;6;PVC;PVC;20
;7;PE;PE;22
;8;PP;PP;11
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;3
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;3
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;1
;22;Non-Polymer;Non-Polymer;4083
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00022;1;1;PU;971;697;971;971;697;697;972,000000000000;698,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46142805333333;0,33385210835018;;"";"";"";"";"";""
;00023;1;1;PU;977;690;977;977;690;690;978,000000000000;691,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45260800000000;7,09161080783062E-02;;"";"";"";"";"";""
;00024;1;2;PET;133;362;133;133;362;362;134,000000000000;363,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39638510784448;0,29486169297720;;"";"";"";"";"";""
;00025;1;2;PET;215;900;215;215;900;900;216,000000000000;901,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35418509649794;3,65131098511455E-02;;"";"";"";"";"";""
;00026;1;2;PET;266;132;266;266;132;132;267,000000000000;133,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37710272537284;0,34504314597983;;"";"";"";"";"";""
;00027;1;2;PET;303;555;303;303;555;555;304,000000000000;556,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39074284194239;0,43786406972370;;"";"";"";"";"";""
;00028;1;2;PET;863;742;863;863;742;742;864,000000000000;743,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35492506383641;0,29097367854507;;"";"";"";"";"";""
;00029;6;2;PET;868;585;868;870;585;587;870,000000000000;587,000000000000;0,70710678118655;0,70710678118655;3,82842712474621;2,41421356237311;1,58578643762690;45,0000000000000;0,34101809246421;0,40599023414438;;"";"";"";"";"";""
;00030;11;2;PET;870;592;870;874;591;593;873,000000000000;593,000000000000;0,99907576513870;-4,29838982937839E-02;5,03928695884861;3,08411932686499;1,63394681747643;177,536445026175;0,91015189661041;0,57980539643581;OK;"ja";"Faser";"transparent";"500";"41";""
;00031;1;2;PET;885;580;885;885;580;580;886,000000000000;581,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54274326123457;0,62547897680553;;"";"";"";"";"";""
;00032;1;2;PET;995;458;995;995;458;458;996,000000000000;459,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,27060316531082;0,36077981544859;;"";"";"";"";"";""
;00033;7;3;PA;246;452;246;248;451;453;248,000000000000;453,000000000000;0,86187091004936;-0,50712772987748;3,73799727985369;2,87612636980441;1,29966378358677;149,527302049539;0,62304711111111;0,79295100300447;OK;"ja";"Fragment";"grau";"41";"31";""
;00034;1;4;PC;258;237;258;258;237;237;259,000000000000;238,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42986666666667;0,21980406662831;;"";"";"";"";"";""
;00035;1;4;PC;264;573;264;264;573;573;265,000000000000;574,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,27659325386735;0,26966008487506;;"";"";"";"";"";""
;00036;1;5;PMMA;59;476;59;59;476;476;60,0000000000000;477,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43501972543210;0,27859067605138;;"";"";"";"";"";""
;00037;1;5;PMMA;393;312;393;393;312;312;394,000000000000;313,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42044444444444;0,17463659991892;;"";"";"";"";"";""
;00038;1;6;PVC;296;634;296;296;634;634;297,000000000000;635,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40960000000000;0,27908887714404;;"";"";"";"";"";""
;00039;1;6;PVC;299;632;299;299;632;632;300,000000000000;633,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45395904790123;0,78131219121141;OK;"ja";"Fragment";"grau";"54";"51";""
;00040;1;6;PVC;337;885;337;337;885;885;338,000000000000;886,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,66560000000000;0,13604709497168;;"";"";"";"";"";""
;00041;5;6;PVC;338;881;338;340;879;881;340,000000000000;881,000000000000;-0,70710678118655;0,70710678118655;3,82842712474621;1,70710678118655;2,24264068711929;135,000000000000;0,34797318194568;0,69755407036599;;"";"";"";"";"";""
;00042;2;6;PVC;339;885;339;340;885;885;340,000000000000;886,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,55401844938272;0,00000000000000;;"";"";"";"";"";""
;00043;4;6;PVC;340;882;340;341;882;883;342,000000000000;884,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,60302222222222;0,62549001028365;;"";"";"";"";"";""
;00044;9;6;PVC;395;539;395;397;538;541;397,000000000000;540,000000000000;-0,34694624773494;0,93788501490462;4,16060129244875;3,22271627754424;1,29102314139152;110,300647322502;0,78080000000000;0,63921658654287;OK;"ja";"Kugel";"rot";"44";"44";""
;00045;1;6;PVC;488;695;488;488;695;695;489,000000000000;696,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42808888888889;0,50036133295952;;"";"";"";"";"";""
;00046;2;6;PVC;489;694;489;490;694;694;490,000000000000;695,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,52760887154859;0,53257999844384;OK;"ja";"Fragment";"weiﬂ";"67";"58";""
;00047;1;6;PVC;618;224;618;618;224;224;619,000000000000;225,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43711188478455;0,44903202449060;;"";"";"";"";"";""
;00048;1;6;PVC;619;223;619;619;223;223;620,000000000000;224,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42417047324444;0,45778774295389;;"";"";"";"";"";""
;00049;2;6;PVC;632;100;632;632;100;101;633,000000000000;102,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,42382895112428;5,35376995720926E-02;;"";"";"";"";"";""
;00050;1;6;PVC;666;886;666;666;886;886;667,000000000000;887,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51395555555556;0,78085324906238;OK;"ja";"Fragment";"transparent";"104";"64";""
;00051;1;6;PVC;668;883;668;668;883;883;669,000000000000;884,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56800000000000;0,36927471652411;;"";"";"";"";"";""
;00052;5;6;PVC;669;882;669;672;881;882;672,000000000000;883,000000000000;0,93362041168967;-0,35826376718337;4,15912500225238;1,93362041168962;2,15095216057328;159,006393752092;0,53447338666667;0,47599419296816;;"";"";"";"";"";""
;00053;1;6;PVC;895;530;895;895;530;530;896,000000000000;531,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35296532372727;5,12672043158240E-02;;"";"";"";"";"";""
;00054;83;6;PVC;903;382;903;912;369;384;909,000000000000;378,000000000000;-0,33318221284636;0,94286245711811;17,4752123466962;8,10327195693594;2,15656248976543;109,462037098451;0,75388700444445;0,47811345329036;;"";"";"";"";"";""
;00055;1;6;PVC;906;386;906;906;386;386;907,000000000000;387,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52831107548754;4,97877198505093E-02;;"";"";"";"";"";""
;00056;2;6;PVC;913;374;913;914;374;374;914,000000000000;375,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,27043612444444;0,11455655977276;;"";"";"";"";"";""
;00057;5;6;PVC;993;459;993;995;459;460;995,000000000000;460,000000000000;0,94868329805051;-0,31622776601684;3,21359436211776;2,26491106406741;1,41886116991573;161,565051177078;0,77354666666667;0,69381136562616;OK;"ja";"Fragment";"grau";"68";"45";""
;00058;3;7;PE;166;742;166;167;742;743;167,000000000000;744,000000000000;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,23680000000000;5,92057911859585E-02;;"";"";"";"";"";""
