Data ID:;D:\mrolf2\ML3.3_5-20\NO1-2\ML3.3_5-20_NO1-2.ilab
Date of Export:;2020-07-10 11:02:39
Classes:;24
Particles:;4593

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;13
;2;PET;PET;3
;3;PA;PA;0
;4;PC;PC;2
;5;PMMA;PMMA;2
;6;PVC;PVC;15
;7;PE;PE;21
;8;PP;PP;4
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;3
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;4528
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00022;3;6;PVC;116;288;116;116;288;290;117,000000000000;290,000000000000;0,00000000000000;1,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;90,0000000000000;0,64820898407243;0,46803142696793;;"";"";"";"";"";""
;00023;8;6;PVC;193;499;193;196;498;500;195,000000000000;500,000000000000;0,83849223790487;-0,54491354082393;4,60530379536246;2,92831931955277;1,57267814497287;146,981244487289;0,44093091081482;0,52370923047379;;"";"";"";"";"";""
;00024;13;6;PVC;280;579;280;284;578;581;283,000000000000;581,000000000000;0,94091584966739;0,33864046398016;5,10230386264976;3,82274754900220;1,33472163600799;19,7940654238415;0,46044444444444;0,59057901280650;OK;"ja";"Fragment";"grau";"98";"58";""
;00025;1;6;PVC;366;570;366;366;570;570;367,000000000000;571,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41293874707582;0,41762407054321;;"";"";"";"";"";""
;00026;1;6;PVC;399;71;399;399;71;71;400,000000000000;72,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40513972063868;6,85251058247768E-02;;"";"";"";"";"";""
;00027;3;6;PVC;402;74;402;403;74;75;403,000000000000;75,0000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,39815822222222;0,20945711483982;;"";"";"";"";"";""
;00028;1;6;PVC;402;79;402;402;79;79;403,000000000000;80,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45400261130535;0,44080181495563;;"";"";"";"";"";""
;00029;1;6;PVC;406;80;406;406;80;80;407,000000000000;81,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45422441981893;0,38685063509955;;"";"";"";"";"";""
;00030;1;6;PVC;652;409;652;652;409;409;653,000000000000;410,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56000000000000;0,25486488625735;;"";"";"";"";"";""
;00031;1;6;PVC;652;417;652;652;417;417;653,000000000000;418,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44586666666667;0,20719552712747;;"";"";"";"";"";""
