Data ID:;D:\mrolf2\ausgewertet - Copy\ML-2_5-20_1-64_1v5\ML-2_5-20_1-64_1v5.ilab
Date of Export:;2021-02-06 19:07:34
Classes:;24
Particles on File:;28484

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;0
;2;PET;PET;0
;3;PA;PA;1
;4;PC;PC;0
;5;PMMA;PMMA;7
;6;PVC;PVC;1
;7;PE;PE;33
;8;PP;PP;9
;9;POM;POM;1
;10;ABS;ABS;3
;11;PAN;PAN;0
;12;PS;PS;18
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;22619
;22;Non-Polymer;Non-Polymer;5790
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;75

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;Plastik ja/nein;Form;Farbe;L‰nge;Breite;Kommentar
;00020;1;122,102499999944;7;PE;233;541;233;233;541;541;234,000000000000;542,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30455232751130;0,41500722432037;;"";"";"";"";"";""
;00021;1;122,102499999944;7;PE;270;713;270;270;713;713;271,000000000000;714,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49631175111111;4,91431448271889E-02;;"";"";"";"";"";""
;00022;21;2564,15249999882;7;PE;289;791;289;293;790;795;292,000000000000;793,000000000000;-3,08835692402686E-02;0,99952298880565;6,05938208250882;5,05985909370315;1,19753968841732;91,7697795842750;0,51772681481481;0,75952672078182;;"";"";"";"";"";""
;00023;2;244,204999999887;7;PE;404;345;404;405;345;345;406,000000000000;346,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,33099377777778;0,22118341293450;;"";"";"";"";"";""
;00024;154;18803,7849999913;7;PE;424;295;406;424;289;300;415,000000000000;295,000000000000;0,99060305045362;-0,13676840436293;18,8308549081652;11,0427989088991;1,70526105415086;172,139109401928;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"transparent";"263";"160";""
;00025;27;3296,76749999848;7;PE;407;342;407;411;342;349;410,000000000000;347,000000000000;0,30036216312091;0,95382523082865;7,92440003745560;6,01674957579826;1,31705664954557;72,5206432281612;0,72107318992593;0,36421651958488;;"";"";"";"";"";""
;00027;2;244,204999999887;7;PE;470;409;470;471;409;409;472,000000000000;410,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,34099200000000;0,24997005237332;;"";"";"";"";"";""
;00028;4;488,409999999775;7;PE;562;702;562;563;702;703;564,000000000000;704,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,55931107555556;0,44237972619192;;"";"";"";"";"";""
;00029;38;4639,89499999786;7;PE;564;704;564;568;704;715;567,000000000000;710,000000000000;0,15942213716537;0,98721050550611;12,3375819720633;4,78941988485906;2,57600758936724;80,8266434019270;0,94720000000000;0,79539442780424;;"";"";"";"";"";""
;00030;1;122,102499999944;7;PE;565;719;565;565;719;719;566,000000000000;720,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50400000000000;0,77002695937912;;"";"";"";"";"";""
;00031;2;244,204999999887;7;PE;566;703;566;567;703;703;568,000000000000;704,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,25122133333333;0,26838655516287;;"";"";"";"";"";""
;00032;1;122,102499999944;7;PE;569;708;569;569;708;708;570,000000000000;709,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43693985185185;0,38454910421451;OK;"ja";"Fragment";"transparent";"235";"75";""
;00033;4;488,409999999775;7;PE;571;314;571;573;314;315;573,000000000000;315,000000000000;0,94868329805051;0,31622776601684;3,21359436211787;1,94868329805053;1,64911064067351;18,4349488229220;0,55751111111111;0,69293827443521;OK;"ja";"Fragment";"transparent";"59";"41";""
;00034;1;122,102499999944;7;PE;594;732;594;594;732;732;595,000000000000;733,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42248501475556;0,34711235424622;;"";"";"";"";"";""
;00035;74;9035,58499999584;7;PE;597;553;597;610;548;557;605,000000000000;554,000000000000;0,96648706584198;0,25671531228224;14,0777624805103;9,18495296801325;1,53269837412737;14,8752492651049;0,59766371028807;0,64075338869838;;"";"";"";"";"";""
;00036;76;9279,78999999572;7;PE;608;535;608;619;532;541;614,000000000000;538,000000000000;0,97928700511907;-0,20247706439232;12,5820653138791;10,6234913036408;1,18436255598638;168,318151478875;0,64533333333333;0,76756002606982;;"";"";"";"";"";""
;00037;5;610,512499999719;7;PE;609;549;609;611;548;549;611,000000000000;550,000000000000;0,94868329805051;-0,31622776601684;3,21359436211787;2,26491106406729;1,41886116991585;161,565051177078;0,56213333333333;0,52351684265427;;"";"";"";"";"";""
;00038;1;122,102499999944;7;PE;613;549;613;613;549;549;614,000000000000;550,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,69422222222222;0,29445548695977;;"";"";"";"";"";""
;00039;41;5006,20249999769;7;PE;614;552;614;621;548;556;618,000000000000;553,000000000000;0,77943205982048;-0,62648676292799;11,4679185221673;6,62367529099390;1,73135276388926;141,208604709212;0,77354666666667;0,77434977021660;;"";"";"";"";"";""
;00040;4;488,409999999775;7;PE;696;369;696;697;369;370;698,000000000000;370,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,62222222222222;0,93633248380967;OK;"ja";"Fragment";"transparent";"51";"29";""
;00041;59;7204,04749999668;7;PE;769;389;769;777;382;397;775,000000000000;389,000000000000;-1,40280262767905E-02;0,99990160239835;16,0406081148055;8,92907268780277;1,79644725445199;90,8037730638456;0,63644507654321;0,65921446420666;;"";"";"";"";"";""
