;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;L‰nge;Breite
gr5mm_ML1_nass_5-20cm_Markus_001;1;Fragment;weiﬂ;PA;1;;Hannah;31/01/20;11305;7323
gr5mm_ML1_nass_5-20cm_Markus_002;1;Fragment;schwarz;PA;1;;Hannah;31/01/20;30000;10000
gr5mm_ML1_nass_5-20cm_Markus_003;1;Fragment;schwarz;PA;1;;Hannah;31/01/20;60000;28000
