Sampling_Site,Sample_ID,MP identifier,Coordinates [pixels],,Coordinates [µm],,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng]
N15,N15/1,MP_4,[59,1241],[325,6826],pp,379,11464.8,274.7,53.1,243730.047,231.54355
N15,N15/1,MP_5,[181,1615],[996,8883],pp,148,4477,155.1,36.7,65795.156,62.5054
N15,N15/1,MP_6,[681,320],[3746,1760],pp,622,18815.5,204.3,117.3,882701.313,838.56625
N15,N15/1,MP_7,[494,2084],[2717,11462],pp,9,272.3,30.1,11.5,1254.256,1.19154
N15,N15/1,MP_8,[688,489],[3784,2690],pp,2393,72388.3,422.6,218.1,6315678,5999.894
N15,N15/1,MP_9,[1156,733],[6358,4032],pp,60,1815,74.3,31.1,22585.051,21.4558
N15,N15/1,MP_10,[1122,2020],[6171,11110],pp,30,907.5,65,17.8,6457.121,6.13426
N15,N15/1,MP_11,[779,1667],[4285,9169],pp,16397,496009.3,8385.9,75.3,14941759,14194.671
N15,N15/2,MP_1,[443,1762],[2437,9691],pa,135,4083.8,114.1,45.6,74460.602,84.88509
N15,N15/2,MP_2,[1495,121],[8223,666],pe,680,20570,332.6,78.8,648007.875,615.6075
N15,N15/2,MP_3,[1034,422],[5687,2321],pp,988,29887,379,100.4,1200435.25,1140.4135
N15,N15/2,MP_4,[1852,1448],[10186,7964],pp,322,9740.5,176.9,70.1,273110.188,259.45467
N16,N16,MP_1,[1771,937],[9741,5154],pet,177,5354.3,157.5,43.3,92707.969,127.937
N16,N16,MP_2,[144,1439],[792,7915],pe,28,847,45,24,8125.595,7.71932
N16,N16,MP_3,[330,1374],[1815,7557],pe,72,2178,85.7,32.3,28179.98,26.77098
N16,N16,MP_4,[855,1840],[4703,10120],pe,426,12886.5,186.4,88,453701.813,431.01672
N16,N16,MP_5,[890,1350],[4895,7425],pe,386,11676.5,173.3,85.8,400598.438,380.5685
N16,N16,MP_6,[1155,2138],[6353,11759],pe,77,2329.3,89.2,33.3,30983.133,29.43398
N16,N16,MP_7,[1196,234],[6578,1287],pe,202,6110.5,115.7,67.2,164317.047,156.10119
N16,N16,MP_8,[1602,1706],[8811,9383],pe,956,28919,261.3,140.9,1630313.25,1548.79763
N16,N16,MP_9,[1636,221],[8998,1216],pe,12,363,27.5,16.8,2440.342,2.31832
N16,N16,MP_10,[1820,1209],[10010,6650],pe,64,1936,88.5,27.9,21579.953,20.50096
N16,N16,MP_11,[730,1598],[4015,8789],ps,1470,44467.5,353.6,160.1,2848034.25,2961.9555
N16,N16,MP_12,[1469,290],[8080,1595],pp,54,1633.5,72.2,28.8,18826.822,17.88548
N16,N16,MP_13,[703,1992],[3867,10956],pp,176,5324,113.5,59.7,127238.859,120.87691
N17,N17/1,MP_1,[728,1201],[4004,6606],pe,69,2087.3,67.6,39.3,32822.188,31.18108
N17,N17/1,MP_2,[1892,737],[10406,4054],pe,15,453.8,28.8,20,3636.559,3.45473
N17,N17/2,MP_1,[401,509],[2206,2800],pet,245,7411.3,187.2,50.4,149417.063,206.19555
N17,N17/2,MP_2,[1349,567],[7420,3119],pp,36,1089,75.7,18.3,7976.662,7.57783
N17,N17/2,MP_3,[1969,1896],[10830,10428],pp,94,2843.5,89.2,40.6,46174.227,43.86552
N17,N17/2,MP_4,[1722,1873],[9471,10302],pp,84,2541,77.5,41.7,42416.113,40.29531
N18,N18/1,MP_1,[1647,718],[9059,3949],pa,48,1452,67.1,27.6,16001.093,18.24125
N18,N18/1,MP_2,[298,614],[1639,3377],pe,22,665.5,33.5,25.3,6724.245,6.38803
N18,N18/1,MP_3,[562,362],[3091,1991],pe,12,363,30.1,15.4,2229.789,2.1183
N18,N18/1,MP_4,[701,601],[3856,3306],pe,44,1331,64.5,26.3,13992.971,13.29332
N18,N18/1,MP_5,[1470,1391],[8085,7651],pe,39,1179.8,54.5,27.6,13003.875,12.35368
N18,N18/1,MP_6,[2238,963],[12309,5297],ps,756,22869,257.6,113.1,1034149.563,1075.5155
N18,N18/2,MP_1,[307,1996],[1689,10978],pet,544,16456,640.2,32.7,215433.797,297.29863
N18,N18/2,MP_2,[538,2121],[2959,11666],pet,47,1421.8,87.6,20.7,11747.769,16.21192
N18,N18/2,MP_3,[1599,1988],[8795,10934],pet,123,3720.8,163.4,29,43158.285,59.55843
N18,N18/2,MP_4,[461,2020],[2536,11110],pet,17,514.3,45.2,14.5,2982.322,4.1156
N18,N18/2,MP_5,[959,1633],[5275,8982],pe,122,3690.5,100,47,69356.375,65.88855
N18,N18/2,MP_6,[1605,1862],[8828,10241],pe,48,1452,63.6,29.1,16893.816,16.04913
N18,N18/2,MP_7,[386,1842],[2123,10131],pp,70,2117.5,124.9,21.6,18281.096,17.36704
N18,N18/2,MP_8,[711,1569],[3911,8630],pp,218,6594.5,172.4,48.7,128484.563,122.06034
N18,N18/2,MP_9,[2033,1775],[11182,9763],pp,44,1331,66.1,25.6,13644.646,12.96241
N18,N18/2,MP_10,[206,1853],[1133,10192],pp,39,1179.8,70,21.5,10130.785,9.62425
N18,N18/2,MP_11,[410,687],[2255,3779],pp,24,726,56.2,16.4,4775.833,4.53704
