Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML2.3_0-5_NO3_1\ML2_3_0-5_No3-1.ilab
Date of Export:;2021-04-20 11:57:47
Classes:;24
Particles on File:;2208

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;7
;2;PET;PET;1
;3;PA;PA;1
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;9
;7;PE;PE;17
;8;PP;PP;3
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;2
;13;PBT;PBT;0
;14;PPSU;PPSU;1
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;17
;22;Non-Polymer;Non-Polymer;2148
;23;PLA;PLA;1
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;43

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymer;shape;length;width;comment
;00023;1;122,102499999944;7;PE;265;717;265;265;717;717;265;717;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36190268344362;0,20286317339684;;"";"";"";"";""
;00024;1;122,102499999944;7;PE;294;595;294;294;595;595;294;595;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42293333333333;9,25073739919126E-02;;"";"";"";"";""
;00025;1;122,102499999944;7;PE;321;310;321;321;310;310;321;310;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49600000000000;0,00000000000000;;"";"";"";"";""
;00026;1;122,102499999944;7;PE;368;256;368;368;256;256;368;256;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42097777777778;0,69652583272837;;"";"";"";"";""
;00027;2;244,204999999887;7;PE;372;255;372;373;255;255;372;255;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,31960632888889;0,62999356943443;;"";"";"";"";""
;00028;1;122,102499999944;7;PE;669;539;669;669;539;539;669;539;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49837639951381;0,12084105043686;;"";"";"";"";""
;00029;1;122,102499999944;7;PE;696;264;696;696;264;264;696;264;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38133855398266;0,00000000000000;;"";"";"";"";""
;00030;1;122,102499999944;7;PE;718;147;718;718;147;147;718;147;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46631111111111;0,42434360415411;;"";"";"";"";""
;00031;1;122,102499999944;7;PE;733;269;733;733;269;269;733;269;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41208888888889;0,18351862239315;;"";"";"";"";""
;00032;1;122,102499999944;7;PE;738;383;738;738;383;383;738;383;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43509918108971;0,00000000000000;;"";"";"";"";""
