Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.3_0-5_NO.2-3\ML3_3_0-5_NO2-3.ilab
Date of Export:;2021-04-20 13:27:55
Classes:;24
Particles on File:;33997

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;3
;2;PET;PET;0
;3;PA;PA;1
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;7
;7;PE;PE;517
;8;PP;PP;4
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;0
;13;PBT;PBT;0
;14;PPSU;PPSU;2
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;5
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;11197
;22;Non-Polymer;Non-Polymer;22260
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;540

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00023;1;122,102499999944;7;PE;99;244;99;99;244;244;99;244;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33102222222222;0,00000000000000;;"";"";"";"";""
;00024;1;122,102499999944;7;PE;107;301;107;107;301;301;107;301;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57258666666667;0,00000000000000;;"";"";"";"";""
;00025;1;122,102499999944;7;PE;107;304;107;107;304;304;107;304;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50613333333333;0,00000000000000;;"";"";"";"";""
;00026;2;244,204999999887;7;PE;107;725;107;108;725;725;108;725;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,29629629629630;0,00000000000000;;"";"";"";"";""
;00027;1;122,102499999944;7;PE;107;749;107;107;749;749;107;749;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35043555555556;0,00000000000000;;"";"";"";"";""
;00028;1;122,102499999944;7;PE;108;235;108;108;235;235;108;235;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45647644444444;0,00000000000000;;"";"";"";"";""
;00029;1;122,102499999944;7;PE;108;407;108;108;407;407;108;407;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34496000000000;0,00000000000000;;"";"";"";"";""
;00030;1;122,102499999944;7;PE;108;723;108;108;723;723;108;723;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51401386666667;0,00000000000000;;"";"";"";"";""
;00031;1;122,102499999944;7;PE;113;456;113;113;456;456;113;456;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31575466666667;0,00000000000000;;"";"";"";"";""
;00032;1;122,102499999944;7;PE;114;327;114;114;327;327;114;327;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34150400000000;0,00000000000000;;"";"";"";"";""
;00033;1;122,102499999944;7;PE;115;422;115;115;422;422;115;422;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42666666666667;0,00000000000000;;"";"";"";"";""
;00034;1;122,102499999944;7;PE;117;420;117;117;420;420;117;420;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37076385185185;0,00000000000000;;"";"";"";"";""
;00035;1;122,102499999944;7;PE;126;305;126;126;305;305;126;305;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37236622222222;0,00000000000000;;"";"";"";"";""
;00036;1;122,102499999944;7;PE;126;480;126;126;480;480;126;480;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34122903703704;0,00000000000000;;"";"";"";"";""
;00037;1;122,102499999944;7;PE;126;514;126;126;514;514;126;514;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49205033339259;0,00000000000000;;"";"";"";"";""
;00038;2;244,204999999887;7;PE;126;689;126;127;689;689;126;689;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,37286874074074;0,00000000000000;;"";"";"";"";""
;00039;1;122,102499999944;7;PE;135;260;135;135;260;260;135;260;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33506089086420;0,00000000000000;;"";"";"";"";""
;00040;2;244,204999999887;7;PE;135;600;135;135;600;601;135;600;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,31755757037037;0,00000000000000;;"";"";"";"";""
;00041;1;122,102499999944;7;PE;143;276;143;143;276;276;143;276;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35703940740741;0,00000000000000;;"";"";"";"";""
;00042;1;122,102499999944;7;PE;143;593;143;143;593;593;143;593;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47360000000000;0,00000000000000;;"";"";"";"";""
;00043;1;122,102499999944;7;PE;145;342;145;145;342;342;145;342;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32665600000000;0,00000000000000;;"";"";"";"";""
;00044;1;122,102499999944;7;PE;154;377;154;154;377;377;154;377;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34472770370370;0,00000000000000;;"";"";"";"";""
;00045;1;122,102499999944;7;PE;156;362;156;156;362;362;156;362;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41588148148148;0,00000000000000;;"";"";"";"";""
;00046;1;122,102499999944;7;PE;157;619;157;157;619;619;157;619;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32035555555556;0,00000000000000;;"";"";"";"";""
;00047;2;244,204999999887;7;PE;158;201;158;159;201;201;158;201;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,38818770266390;0,00000000000000;;"";"";"";"";""
;00048;1;122,102499999944;7;PE;160;434;160;160;434;434;160;434;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42291200000000;0,00000000000000;;"";"";"";"";""
;00049;1;122,102499999944;7;PE;163;435;163;163;435;435;163;435;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33020228645926;0,00000000000000;;"";"";"";"";""
;00050;1;122,102499999944;7;PE;170;235;170;170;235;235;170;235;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35804444444444;0,00000000000000;;"";"";"";"";""
;00051;1;122,102499999944;7;PE;171;237;171;171;237;237;171;237;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,62862222222222;0,00000000000000;;"";"";"";"";""
;00052;1;122,102499999944;7;PE;171;749;171;171;749;749;171;749;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39442962962963;0,00000000000000;;"";"";"";"";""
;00053;1;122,102499999944;7;PE;172;235;172;172;235;235;172;235;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47431111111111;0,00000000000000;;"";"";"";"";""
;00054;1;122,102499999944;7;PE;173;602;173;173;602;602;173;602;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40049777777778;0,00000000000000;;"";"";"";"";""
;00055;1;122,102499999944;7;PE;174;494;174;174;494;494;174;494;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31948800000000;0,00000000000000;;"";"";"";"";""
;00056;1;122,102499999944;7;PE;178;552;178;178;552;552;178;552;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50092987733333;0,00000000000000;;"";"";"";"";""
;00057;1;122,102499999944;7;PE;178;800;178;178;800;800;178;800;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35057777777778;0,00000000000000;;"";"";"";"";""
;00058;1;122,102499999944;7;PE;179;550;179;179;550;550;179;550;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33452562962963;0,00000000000000;;"";"";"";"";""
;00059;1;122,102499999944;7;PE;182;447;182;182;447;447;182;447;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29617777777778;0,00000000000000;;"";"";"";"";""
;00060;1;122,102499999944;7;PE;183;704;183;183;704;704;183;704;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35750400000000;0,00000000000000;;"";"";"";"";""
;00061;1;122,102499999944;7;PE;185;278;185;185;278;278;185;278;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40100977777778;0,00000000000000;;"";"";"";"";""
;00062;1;122,102499999944;7;PE;185;427;185;185;427;427;185;427;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45342814814815;0,00000000000000;;"";"";"";"";""
;00063;1;122,102499999944;7;PE;185;783;185;185;783;783;185;783;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52337777777778;0,00000000000000;;"";"";"";"";""
