;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;Länge;Breite
ML1_(0-5)_0,5-1mm_Markus_001;1;Fragment;rot;PE;1;;Hannah;17.02.2020;896;903
ML1_(0-5)_0,5-1mm_Markus_002;1;Fragment;grün;PE;1;;Hannah;17.02.2020;1059;677
ML1_(0-5)_0,5-1mm_Markus_003;1;Fragment;blau;x;x;;Hannah;17.02.2020;578;209
ML1_(0-5)_0,5-1mm_Markus_004;1;Fragment;blau;PE;1;;Hannah;17.02.2020;757;244
ML1_(0-5)_0,5-1mm_Markus_005;1;Fragment;grau;PE;1;;Hannah;17.02.2020;1848;755
ML1_(0-5)_0,5-1mm_Markus_006;1;Faser;blau;PET;1;2x gem;Hannah;17.02.2020;2161;968
ML1_(0-5)_0,5-1mm_Markus_007;1;Fragment;braun;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_008;1;Fragment;weiß;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_009;1;Fragment;beige;PU;1;;Hannah;17.02.2020;1699;984
ML1_(0-5)_0,5-1mm_Markus_010;1;Fragment;rot;x;x;2x gem;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_011;1;Fragment;beige;PE;1;;Hannah;17.02.2020;1259;1182
ML1_(0-5)_0,5-1mm_Markus_012;1;Faser;rot;PET;1;;Hannah;17.02.2020;1614;1417
ML1_(0-5)_0,5-1mm_Markus_013;1;Fragment;weiß;PP;1;Blend;Hannah;17.02.2020;1366;950
ML1_(0-5)_0,5-1mm_Markus_014;1;Fragment;weiß;x;x;2x gem;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_015;1;Kugel;transparent;PS;1;;Hannah;17.02.2020;507;525
ML1_(0-5)_0,5-1mm_Markus_016;1;Fragment;beige;PE;1;;Hannah;17.02.2020;2959;759
ML1_(0-5)_0,5-1mm_Markus_017;1;Fragment;beige;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_018;1;Fragment;grau;PE;1;;Hannah;17.02.2020;1491;745
ML1_(0-5)_0,5-1mm_Markus_019;1;Fragment;grün;PE;1;;Hannah;17.02.2020;1227;935
ML1_(0-5)_0,5-1mm_Markus_020;1;Fragment;weiß;PE;1;;Hannah;17.02.2020;1096;687
ML1_(0-5)_0,5-1mm_Markus_021;1;Fragment;beige;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_022;1;Fragment;beige;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_023;1;Fragment;beige;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_024;1;Fragment;weiß;PE;1;;Hannah;17.02.2020;832;433
ML1_(0-5)_0,5-1mm_Markus_025;1;Fragment;blau;PS;1;Styrol-Acrylnitril?;Hannah;17.02.2020;1373;710
ML1_(0-5)_0,5-1mm_Markus_026;1;Fragment;grün;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_027;1;Fragment;rosa;PE;1;;Hannah;17.02.2020;705;524
ML1_(0-5)_0,5-1mm_Markus_028;1;Fragment;braun;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_029;1;Fragment;beige;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_030;1;Fragment;weiß;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_031;1;Faser;weiß;x;x;2x gem;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_032;1;Fragment;beige;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_033;1;Fragment;braun;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_034;1;Fragment;weiß;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_035;1;Fragment;beige;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_036;1;Fragment;beige;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_037;0;Fragment;weiß;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_038;1;Fragment;rot;PU;1;;Hannah;17.02.2020;663;497
ML1_(0-5)_0,5-1mm_Markus_039;1;Fragment;beige;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_040;1;Fragment;braun;x;x;;Hannah;17.02.2020;;
ML1_(0-5)_0,5-1mm_Markus_041;1;Fragment;grün;X;x;;;;;
