Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.1_0-5_1-16_2v4\ML3.1_0-5_1-16_2v4.ilab
Date of Export:;2021-04-20 13:18:22
Classes:;24
Particles on File:;12854

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;24
;2;PET;PET;2
;3;PA;PA;7
;4;PC;PC;10
;5;PMMA;PMMA;21
;6;PVC;PVC;21
;7;PE;PE;365
;8;PP;PP;189
;9;POM;POM;19
;10;ABS;ABS;17
;11;PAN;PAN;0
;12;PS;PS;532
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;40
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;1
;20;SILICONE;SI;1
;21;Substrat;Substrate;8
;22;Non-Polymer;Non-Polymer;11596
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;1250

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;1;122,102499999944;1;PU;262;443;262;262;443;443;262;443;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40710874074074;0,00000000000000;;"";"";"";"";""
;00002;1;122,102499999944;1;PU;271;825;271;271;825;825;271;825;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49600000000000;0,00000000000000;;"";"";"";"";""
;00003;1;122,102499999944;1;PU;295;884;295;295;884;884;295;884;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,61866666666667;0,00000000000000;;"";"";"";"";""
;00004;1;122,102499999944;1;PU;324;835;324;324;835;835;324;835;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37834676148148;0,00000000000000;;"";"";"";"";""
;00005;1;122,102499999944;1;PU;331;434;331;331;434;434;331;434;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48805925925926;0,00000000000000;;"";"";"";"";""
;00006;2;244,204999999887;1;PU;367;220;367;368;220;220;368;220;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,43023928888889;0,00000000000000;;"";"";"";"";""
;00007;2;244,204999999887;1;PU;380;889;380;381;889;889;380;889;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,40013470024691;0,00000000000000;;"";"";"";"";""
;00008;1;122,102499999944;1;PU;405;760;405;405;760;760;405;760;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26765842962963;0,00000000000000;;"";"";"";"";""
;00009;1;122,102499999944;1;PU;406;291;406;406;291;291;406;291;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41524264037745;0,00000000000000;;"";"";"";"";""
;00010;1;122,102499999944;1;PU;406;761;406;406;761;761;406;761;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40609955945181;0,00000000000000;;"";"";"";"";""
;00011;1;122,102499999944;1;PU;492;784;492;492;784;784;492;784;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50668885333333;0,00000000000000;;"";"";"";"";""
;00012;1;122,102499999944;1;PU;531;852;531;531;852;852;531;852;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41128827259259;0,00000000000000;;"";"";"";"";""
;00013;1;122,102499999944;1;PU;539;712;539;539;712;712;539;712;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,20925829627486;0,00000000000000;;"";"";"";"";""
;00014;6;732,614999999662;1;PU;637;743;637;639;742;744;638;743;0,90851289849291;-0,41785680953171;3,65273941604926;2,81702579698572;1,29666523464491;155,300647322502;0,98666666666667;0,00000000000000;;"";"";"";"";""
;00015;1;122,102499999944;1;PU;651;92;651;651;92;92;651;92;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41506937025844;0,00000000000000;;"";"";"";"";""
;00016;1;122,102499999944;1;PU;725;127;725;725;127;127;725;127;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,28362212137086;0,00000000000000;;"";"";"";"";""
;00017;1;122,102499999944;1;PU;750;775;750;750;775;775;750;775;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36928894691134;0,00000000000000;;"";"";"";"";""
;00018;1;122,102499999944;1;PU;757;851;757;757;851;851;757;851;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44572790328889;0,00000000000000;;"";"";"";"";""
