Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_3v5\ML1_1_0-5_1-8_3v5.ilab
Date of Export:;2021-04-20 11:27:59
Classes:;24
Particles on File:;12504

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;22
;2;PET;PET;5
;3;PA;PA;5
;4;PC;PC;2
;5;PMMA;PMMA;26
;6;PVC;PVC;23
;7;PE;PE;305
;8;PP;PP;182
;9;POM;POM;13
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;73
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;52
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;3924
;22;Non-Polymer;Non-Polymer;7869
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;711

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymer;shape;length;width;comment
;00023;2;244,204999999887;2;PET;229;377;229;230;377;377;230;377;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,15329266515226;0,57487756485783;;"";"";"";"";""
;00024;1;122,102499999944;2;PET;232;377;232;232;377;377;232;377;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52635019946667;0,72338347124323;OK;"";"fragment";"124";"38";""
;00025;7;854,717499999606;2;PET;233;376;233;236;375;377;235;376;0,96649964876467;-0,25666793515702;4,15616688145104;2,93299929752931;1,41703643944003;165,127559351529;0,73192362459338;0,66830107795538;;"";"";"";"";""
;00026;1;122,102499999944;2;PET;556;711;556;556;711;711;556;711;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46897448327901;3,36252250810978E-02;;"";"";"";"";""
;00027;5;610,512499999719;2;PET;558;711;558;560;711;712;559;711;0,94868329805051;-0,31622776601684;3,21359436211793;2,26491106406741;1,41886116991580;161,565051177078;0,87158755555556;0,52415848315802;OK;"";"fragment";"104";"76";""
;00028;1;122,102499999944;3;PA;213;586;213;213;586;586;213;586;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58560000000000;0,72081972933282;OK;"";"fragment";"50";"42";""
;00029;1;122,102499999944;3;PA;342;177;342;342;177;177;342;177;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42384384000000;0,51364438304062;;"";"";"";"";""
;00030;1;122,102499999944;3;PA;583;609;583;583;609;609;583;609;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49551441920000;0,74135324344380;;"";"";"";"";""
;00031;1;122,102499999944;3;PA;896;806;896;896;806;806;896;806;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50623525925926;0,43071732465209;OK;"";"bead";"27";"27";""
;00032;19;2319,94749999893;3;PA;901;269;901;906;269;273;903;270;0,97840892014833;0,20667845793447;6,30540151661057;5,12031413852782;1,23144817798688;11,9277720533422;0,69900017839752;0,77563010870668;OK;"";"fragment";"88";"62";""
