;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;L‰nge;Breite
gr0.5-1mm_ML2_(0-5)_001;1;Fragment;orange;PE;1;;Hannah;01.09.2020;885;705
gr0.5-1mm_ML2_(0-5)_002;1;Kugel;braun;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_003;1;Fragment;grau;PE;1;;Hannah;01.09.2020;1266;446
gr0.5-1mm_ML2_(0-5)_004;1;Kugel;schwarz;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_005;1;Kugel;weiﬂ;PS;1;;Hannah;01.09.2020;843;867
gr0.5-1mm_ML2_(0-5)_006;1;Fragment;weiﬂ;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_007;1;Faser;rot;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_008;1;Kugel;transparent;PS;1;;Hannah;01.09.2020;695;676
gr0.5-1mm_ML2_(0-5)_009;1;Fragment;transparent;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_010;1;Kugel;beige;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_011;1;Fragment;grau;PE;1;;Hannah;01.09.2020;2039;679
gr0.5-1mm_ML2_(0-5)_012;1;Fragment;weiﬂ;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_013;1;Faser;blau;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_014;0;Fragment;transparent;x;x;verloren;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_015;1;Fragment;braun;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_016;1;Fragment;orange;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_017;1;Kugel;weiﬂ;PMMA;1;;Hannah;01.09.2020;627;626
gr0.5-1mm_ML2_(0-5)_018;1;Fragment;weiﬂ;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_019;1;Faser;schwarz;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_020;1;Fragment;weiﬂ;PC;1;;Hannah;01.09.2020;1029;829
gr0.5-1mm_ML2_(0-5)_021;1;Faser;rot;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_022;1;Fragment;weiﬂ;PE;1;;Hannah;01.09.2020;1028;719
gr0.5-1mm_ML2_(0-5)_023;1;Fragment;transparent;PET;1;;Hannah;01.09.2020;1803;556
gr0.5-1mm_ML2_(0-5)_024;1;Faser;braun;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_025;1;Fragment;transparent;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_026;1;Faser;weiﬂ;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_027;1;Faser;blau;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_028;1;Fragment;weiﬂ;PE;1;;Hannah;01.09.2020;1720;1637
gr0.5-1mm_ML2_(0-5)_029;1;Kugel;transparent;PS;1;;Hannah;01.09.2020;241;247
gr0.5-1mm_ML2_(0-5)_030;1;Kugel;braun;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_031;1;Fragment;weiﬂ;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_032;1;Fragment;braun;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_033;1;Fragment;grau;PE;1;2x;Hannah;01.09.2020;690;246
gr0.5-1mm_ML2_(0-5)_034;1;Fragment;braun;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_035;1;Fragment;rot;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_036;1;Kugel;schwarz;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_037;1;Kugel;weiﬂ;PS;1;;Hannah;01.09.2020;662;664
gr0.5-1mm_ML2_(0-5)_038;1;Kugel;weiﬂ;PS;1;;Hannah;01.09.2020;322;325
gr0.5-1mm_ML2_(0-5)_039;1;Fragment;weiﬂ;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_040;1;Kugel;transparent;PS;1;;Hannah;01.09.2020;200;215
gr0.5-1mm_ML2_(0-5)_041;1;Fragment;transparent;x;x;;Hannah;01.09.2020;;
gr0.5-1mm_ML2_(0-5)_042;1;Fragment;weiﬂ;PE;1;;Hannah;01.09.2020;1231;186
gr0.5-1mm_ML2_(0-5)_043;1;Fragment;weiﬂ;PE;1;;Hannah;01.09.2020;857;650
gr0.5-1mm_ML2_(0-5)_044;1;Fragment;weiﬂ;PS;1;;Hannah;02.09.2020;965;662
gr0.5-1mm_ML2_(0-5)_045;1;Fragment;braun;x;x;;Hannah;02.09.2020;;
gr0.5-1mm_ML2_(0-5)_046;1;Fragment;weiﬂ;x;x;;Hannah;02.09.2020;875;407
gr0.5-1mm_ML2_(0-5)_047;1;Kugel;transparent;PS;1;;Hannah;02.09.2020;329;344
gr0.5-1mm_ML2_(0-5)_048;1;Fragment;beige;x;x;;Hannah;02.09.2020;;
gr0.5-1mm_ML2_(0-5)_049;1;Fragment;weiﬂ;x;x;;Hannah;02.09.2020;;
gr0.5-1mm_ML2_(0-5)_050;1;Kugel;transparent;PS;1;;Hannah;02.09.2020;552;560
gr0.5-1mm_ML2_(0-5)_051;1;Fragment;transparent;x;x;;Hannah;02.09.2020;;
gr0.5-1mm_ML2_(0-5)_052;1;Fragment;weiﬂ;PS;1;;Hannah;02.09.2020;381;360
gr0.5-1mm_ML2_(0-5)_053;1;Kugel;schwarz;x;x;;Hannah;02.09.2020;;
gr0.5-1mm_ML2_(0-5)_054;1;Fragment;beige;x;x;;Hannah;02.09.2020;;
gr0.5-1mm_ML2_(0-5)_055;1;Faser;weiﬂ;x;x;;Hannah;02.09.2020;;
gr0.5-1mm_ML2_(0-5)_056;1;Fragment;silber;x;x;;Hannah;02.09.2020;;
gr0.5-1mm_ML2_(0-5)_057;1;Fragment;beige;x;x;;Hannah;02.09.2020;;
gr0.5-1mm_ML2_(0-5)_058;1;Fragment;beige;x;x;;Hannah;02.09.2020;;
gr0.5-1mm_ML2_(0-5)_059;1;Faser;schwarz;PET;1;;Hannah;02.09.2020;2711;31
gr0.5-1mm_ML2_(0-5)_060;1;Fragment;beige;x;x;;Hannah;02.09.2020;;
gr0.5-1mm_ML2_(0-5)_061;1;Faser;schwarz;x;x;;Hannah;02.09.2020;;
