Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.1_0-5_1-16_3v4\ML3.1_0-5_1-16_3v4.ilab
Date of Export:;2021-04-20 13:19:36
Classes:;24
Particles on File:;67168

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;9
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;15
;6;PVC;PVC;0
;7;PE;PE;403
;8;PP;PP;292
;9;POM;POM;29
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;102
;13;PBT;PBT;0
;14;PPSU;PPSU;1
;15;CA;CA;0
;16;EVAc;EVAc;34
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;1
;20;SILICONE;SI;0
;21;Substrat;Substrate;57082
;22;Non-Polymer;Non-Polymer;9197
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;889

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;1;122,102499999944;1;PU;257;193;257;257;193;193;257;193;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47149511111111;0,00000000000000;;"";"";"";"";""
;00002;1;122,102499999944;1;PU;275;175;275;275;175;175;275;175;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42308266666667;0,00000000000000;;"";"";"";"";""
;00003;1;122,102499999944;1;PU;318;552;318;318;552;552;318;552;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47200000000000;0,00000000000000;;"";"";"";"";""
;00004;1;122,102499999944;1;PU;640;813;640;640;813;813;640;813;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39768518692975;0,00000000000000;;"";"";"";"";""
;00005;1;122,102499999944;1;PU;765;182;765;765;182;182;765;182;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47997155555556;0,00000000000000;;"";"";"";"";""
;00006;1;122,102499999944;1;PU;860;530;860;860;530;530;860;530;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43672234666667;0,00000000000000;;"";"";"";"";""
;00007;1;122,102499999944;1;PU;885;355;885;885;355;355;885;355;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35566447881481;0,00000000000000;;"";"";"";"";""
;00008;1;122,102499999944;1;PU;942;424;942;942;424;424;942;424;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31528260645926;0,00000000000000;;"";"";"";"";""
;00009;1;122,102499999944;1;PU;945;422;945;945;422;422;945;422;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29590977508188;0,00000000000000;;"";"";"";"";""
;00010;3;366,307499999831;2;PET;399;337;399;400;337;338;399;338;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,21813356399515;0,00000000000000;;"";"";"";"";""
;00011;1;122,102499999944;4;PC;128;281;128;128;281;281;128;281;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42710699437552;0,00000000000000;;"";"";"";"";""
;00012;1;122,102499999944;5;PMMA;103;263;103;103;263;263;103;263;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39407418642717;0,00000000000000;;"";"";"";"";""
;00013;1;122,102499999944;5;PMMA;106;268;106;106;268;268;106;268;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38635959940741;0,00000000000000;;"";"";"";"";""
;00014;4;488,409999999775;5;PMMA;131;279;131;133;279;280;132;279;0,94868329805051;-0,31622776601684;3,21359436211787;1,94868329805053;1,64911064067351;161,565051177078;0,56770560000000;0,00000000000000;OK;"";"fragment";"164";"92";""
;00015;2;244,204999999887;5;PMMA;133;281;133;134;281;281;134;281;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,53344090339556;0,00000000000000;;"";"";"";"";""
;00016;1;122,102499999944;5;PMMA;152;237;152;152;237;237;152;237;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40012549453355;0,00000000000000;;"";"";"";"";""
;00017;1;122,102499999944;5;PMMA;163;371;163;163;371;371;163;371;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32913852444454;0,00000000000000;;"";"";"";"";""
;00018;21;2564,15249999882;5;PMMA;240;310;240;245;306;311;243;309;0,79283591002609;-0,60943516453606;7,21851946278468;5,57361471466652;1,29512351181895;142,451327119516;0,63788630466541;0,00000000000000;OK;"";"fragment";"129";"84";""
;00019;4;488,409999999775;5;PMMA;245;305;245;247;305;306;246;305;0,94868329805051;0,31622776601684;3,21359436211787;1,94868329805053;1,64911064067351;18,4349488229220;0,44021687585980;0,00000000000000;;"";"";"";"";""
;00020;1;122,102499999944;5;PMMA;360;157;360;360;157;157;360;157;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41845565313580;0,00000000000000;;"";"";"";"";""
;00021;1;122,102499999944;5;PMMA;614;357;614;614;357;357;614;357;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36746897011885;0,00000000000000;;"";"";"";"";""
