Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML2.1_0-5_1-8_1v5\ML2.1_0-5_1-8_1v5.ilab
Date of Export:;2021-04-20 11:40:56
Classes:;24
Particles on File:;8603

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;67
;2;PET;PET;8
;3;PA;PA;3
;4;PC;PC;4
;5;PMMA;PMMA;63
;6;PVC;PVC;44
;7;PE;PE;833
;8;PP;PP;412
;9;POM;POM;10
;10;ABS;ABS;12
;11;PAN;PAN;0
;12;PS;PS;391
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;123
;17;PEEK;PEEK;0
;18;EVOH;EVOH;6
;19;PSU;PSU;1
;20;SILICONE;SI;23
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;6600
;23;PLA;PLA;2
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;2003

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;1;122,102499999944;1;PU;111;691;111;111;691;691;111;691;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54376857600000;0,00000000000000;;"";"";"";"";""
;00002;1;122,102499999944;1;PU;157;185;157;157;185;185;157;185;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42764325925926;0,00000000000000;;"";"";"";"";""
;00003;1;122,102499999944;1;PU;160;190;160;160;190;190;160;190;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29340700702341;0,00000000000000;;"";"";"";"";""
;00004;39;4761,99749999780;1;PU;177;641;177;185;634;642;181;639;0,93648993442450;0,35069445778568;9,65959628768565;7,90612399875727;1,22178659090143;20,5297971310333;0,67753458619733;0,00000000000000;;"";"";"";"";""
;00005;74;9035,58499999584;1;PU;180;361;180;188;354;365;184;359;-0,39832475461042;0,91724445480174;13,4796375304817;8,21736069283310;1,64038528115702;113,473492494179;0,97333333333333;0,00000000000000;;"";"";"";"";""
;00006;1;122,102499999944;1;PU;183;270;183;183;270;270;183;270;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31965460707556;0,00000000000000;;"";"";"";"";""
;00007;1;122,102499999944;1;PU;186;637;186;186;637;637;186;637;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29031111111111;0,00000000000000;;"";"";"";"";""
;00008;1;122,102499999944;1;PU;191;357;191;191;357;357;191;357;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47146666666667;0,00000000000000;;"";"";"";"";""
;00009;1;122,102499999944;1;PU;199;496;199;199;496;496;199;496;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48701054335473;0,00000000000000;;"";"";"";"";""
;00010;1;122,102499999944;1;PU;201;602;201;201;602;602;201;602;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47384809623704;0,00000000000000;;"";"";"";"";""
;00011;2;244,204999999887;1;PU;219;657;219;219;657;658;219;658;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,43384098765432;0,00000000000000;;"";"";"";"";""
;00012;1;122,102499999944;1;PU;245;431;245;245;431;431;245;431;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42854564851358;0,00000000000000;;"";"";"";"";""
;00013;1;122,102499999944;1;PU;254;503;254;254;503;503;254;503;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37815455812098;0,00000000000000;;"";"";"";"";""
;00014;1;122,102499999944;1;PU;309;96;309;309;96;96;309;96;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35711155552153;0,00000000000000;;"";"";"";"";""
;00015;1;122,102499999944;1;PU;322;86;322;322;86;86;322;86;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42097777777778;0,00000000000000;;"";"";"";"";""
;00016;1;122,102499999944;1;PU;330;465;330;330;465;465;330;465;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39374332207407;0,00000000000000;;"";"";"";"";""
;00017;1;122,102499999944;1;PU;330;776;330;330;776;776;330;776;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36182673382716;0,00000000000000;;"";"";"";"";""
;00018;1;122,102499999944;1;PU;351;148;351;351;148;148;351;148;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48590190617284;0,00000000000000;;"";"";"";"";""
;00019;1;122,102499999944;1;PU;360;149;360;360;149;149;360;149;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36268944413498;0,00000000000000;;"";"";"";"";""
;00020;1;122,102499999944;1;PU;382;122;382;382;122;122;382;122;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43200000000000;0,00000000000000;;"";"";"";"";""
;00021;1;122,102499999944;1;PU;416;580;416;416;580;580;416;580;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32983646309136;0,00000000000000;;"";"";"";"";""
;00022;1;122,102499999944;1;PU;442;807;442;442;807;807;442;807;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32198273706667;0,00000000000000;;"";"";"";"";""
;00023;1;122,102499999944;1;PU;447;660;447;447;660;660;447;660;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46798184154481;0,00000000000000;;"";"";"";"";""
;00024;1;122,102499999944;1;PU;467;336;467;467;336;336;467;336;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38548385185185;0,00000000000000;;"";"";"";"";""
;00025;1;122,102499999944;1;PU;472;622;472;472;622;622;472;622;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39640472487506;0,00000000000000;;"";"";"";"";""
;00026;1;122,102499999944;1;PU;508;678;508;508;678;678;508;678;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52271572475601;0,00000000000000;;"";"";"";"";""
;00027;3;366,307499999831;1;PU;513;260;513;514;260;261;514;260;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,31328995369773;0,00000000000000;;"";"";"";"";""
;00028;1;122,102499999944;1;PU;515;547;515;515;547;547;515;547;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34717138831627;0,00000000000000;;"";"";"";"";""
;00029;1;122,102499999944;1;PU;535;704;535;535;704;704;535;704;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37491298607407;0,00000000000000;;"";"";"";"";""
;00030;1;122,102499999944;1;PU;555;113;555;555;113;113;555;113;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42055680000000;0,00000000000000;;"";"";"";"";""
;00031;1;122,102499999944;1;PU;564;829;564;564;829;829;564;829;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29683219897458;0,00000000000000;;"";"";"";"";""
;00032;1;122,102499999944;1;PU;577;361;577;577;361;361;577;361;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44329571197366;0,00000000000000;;"";"";"";"";""
;00033;1;122,102499999944;1;PU;584;361;584;584;361;361;584;361;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35333693945679;0,00000000000000;;"";"";"";"";""
;00034;1;122,102499999944;1;PU;605;682;605;605;682;682;605;682;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49996992326584;0,00000000000000;;"";"";"";"";""
;00035;1;122,102499999944;1;PU;606;120;606;606;120;120;606;120;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49920000000000;0,00000000000000;;"";"";"";"";""
;00036;1;122,102499999944;1;PU;663;428;663;663;428;428;663;428;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37042609972272;0,00000000000000;;"";"";"";"";""
;00037;1;122,102499999944;1;PU;676;705;676;676;705;705;676;705;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29659737522073;0,00000000000000;;"";"";"";"";""
;00038;1;122,102499999944;1;PU;687;840;687;687;840;840;687;840;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41277292383262;0,00000000000000;;"";"";"";"";""
;00039;7;854,717499999606;1;PU;688;322;688;692;321;323;690;322;1,00000000000000;0,00000000000000;5,00000000000000;3,00000000000000;1,66666666666667;0,00000000000000;0,37531648000000;0,00000000000000;;"";"";"";"";""
;00040;1;122,102499999944;1;PU;692;320;692;692;320;320;692;320;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51484459614815;0,00000000000000;;"";"";"";"";""
;00041;1;122,102499999944;1;PU;693;319;693;693;319;319;693;319;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38783681675062;0,00000000000000;;"";"";"";"";""
;00042;1;122,102499999944;1;PU;694;104;694;694;104;104;694;104;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41255822222222;0,00000000000000;;"";"";"";"";""
;00043;9;1098,92249999949;1;PU;694;323;694;698;323;325;696;324;0,99196695967300;0,12649723679630;5,09436507548833;3,11043115614237;1,63783244822126;7,26722754027006;0,30604473491490;0,00000000000000;;"";"";"";"";""
;00044;1;122,102499999944;1;PU;696;118;696;696;118;118;696;118;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40830166913580;0,00000000000000;;"";"";"";"";""
;00045;1;122,102499999944;1;PU;698;328;698;698;328;328;698;328;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,24375606421597;0,00000000000000;;"";"";"";"";""
;00046;4;488,409999999775;1;PU;699;322;699;700;322;323;700;322;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,40237728047407;0,00000000000000;;"";"";"";"";""
;00047;1;122,102499999944;1;PU;699;327;699;699;327;327;699;327;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34151822222222;0,00000000000000;;"";"";"";"";""
;00048;1;122,102499999944;1;PU;701;121;701;701;121;121;701;121;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41064296296296;0,00000000000000;;"";"";"";"";""
;00049;3;366,307499999831;1;PU;703;329;703;704;328;329;704;329;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,39191202508379;0,00000000000000;;"";"";"";"";""
;00050;1;122,102499999944;1;PU;713;603;713;713;603;603;713;603;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38559498846815;0,00000000000000;;"";"";"";"";""
;00051;1;122,102499999944;1;PU;725;313;725;725;313;313;725;313;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50841242990617;0,00000000000000;;"";"";"";"";""
