Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_5v5\ML1.1_0-5_1-8_5v5.ilab
Date of Export:;2021-04-20 11:31:13
Classes:;24
Particles on File:;54958

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;2
;2;PET;PET;0
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;2
;6;PVC;PVC;0
;7;PE;PE;4
;8;PP;PP;18
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;7
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;45283
;22;Non-Polymer;Non-Polymer;9640
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;35

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00022;7;854,717499999887;8;PP;798;814;798;801;813;815;800;814;0,92387953251129;0,38268343236509;4,15432202989905;2,46507563265737;1,68527163015305;22,5000000000000;0,53102136888889;0,00000000000000;;"";"";"0";"0";""
;00023;1;122,102499999984;8;PP;801;812;801;801;812;812;801;812;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,66250676148148;0,00000000000000;;"";"";"0";"0";""
;00024;9;1098,92249999986;8;PP;889;656;889;893;656;658;891;657;1,00000000000000;0,00000000000000;5,00000000000000;3,00000000000000;1,66666666666667;0,00000000000000;0,77440000000000;0,00000000000000;OK;"";"fragment";"133";"44";""
;00025;1;122,102499999984;8;PP;894;655;894;894;655;655;894;655;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,62160718000988;0,00000000000000;;"";"";"0";"0";""
;00026;1;122,102499999984;8;PP;896;654;896;896;654;654;896;654;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36982747348385;0,00000000000000;;"";"";"0";"0";""
;00027;1;122,102499999984;9;POM;330;670;330;330;670;670;330;670;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33048898756143;0,00000000000000;;"";"";"0";"0";""
;00028;2;244,204999999968;12;PS;271;231;271;272;231;231;272;231;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,74540897975309;0,00000000000000;OK;"";"bead";"48";"48";""
;00029;1;122,102499999984;12;PS;274;230;274;274;230;230;274;230;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47239111111111;0,00000000000000;;"";"";"0";"0";""
;00030;12;1465,22999999981;12;PS;647;354;647;650;354;357;649;355;0,56343254750748;0,82616206909373;5,16878384980350;3,77918923320237;1,36769649013411;55,7064847374359;0,83503982617284;0,00000000000000;OK;"";"fragment";"101";"79";""
;00031;1;122,102499999984;12;PS;647;359;647;647;359;359;647;359;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,65706666666667;0,00000000000000;;"";"";"0";"0";""
;00032;1;122,102499999984;12;PS;648;358;648;648;358;358;648;358;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49888185225165;0,00000000000000;;"";"";"0";"0";""
;00033;12;1465,22999999981;12;PS;670;479;670;673;479;482;671;480;0,84742949751568;0,53090794563683;4,60410438382064;3,75667488630501;1,22557967435642;32,0668216029527;0,75997467989333;0,00000000000000;OK;"";"bead";"101";"101";""
;00034;1;122,102499999984;12;PS;671;483;671;671;483;483;671;483;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,60373726583045;0,00000000000000;;"";"";"0";"0";""
;00035;1;122,102499999984;13;PBT;376;503;376;376;503;503;376;503;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33471194017640;0,00000000000000;;"";"";"0";"0";""
