Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_4v5\ML 1.1 0-5 1-8 4v5.ilab
Date of Export:;2021-05-07 11:38:24
Classes:;24
Particles on File:;62037

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;13
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;18
;6;PVC;PVC;5
;7;PE;PE;152
;8;PP;PP;139
;9;POM;POM;47
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;23
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;31
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;8
;21;Substrat;Substrate;55048
;22;Non-Polymer;Non-Polymer;6549
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;440

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer?;Shape;Length;Width
;00022;1;122,102499999944;5;PMMA;233;251;233;233;251;251;233;251;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38131980818963;0,00000000000000;;"";"";"0";"0"
;00023;1;122,102499999944;5;PMMA;234;252;234;234;252;252;234;252;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35513598855420;0,00000000000000;;"";"";"0";"0"
;00024;72;8791,37999999595;5;PMMA;237;168;237;250;160;169;244;165;0,85458766206361;-0,51930716136854;15,2254825750382;7,16614029511874;2,12464198969271;148,714211280661;0,96000000000000;0,00000000000000;OK;"";"fragment";"168";"100"
;00025;28;3418,86999999842;5;PMMA;238;251;238;244;249;256;239;252;-0,47786158917349;0,87843514364612;9,06049236221682;7,30362207492453;1,24054780891856;118,545831926741;0,53159420700950;0,00000000000000;;"";"";"0";"0"
;00026;1;122,102499999944;5;PMMA;242;252;242;242;252;252;242;252;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35360037799506;0,00000000000000;;"";"";"0";"0"
;00027;110;13431,2749999938;5;PMMA;247;320;247;260;314;325;253;320;0,99981397934587;1,92874753293029E-02;13,9782942561669;12,0558161987925;1,15946477830070;1,10515946217698;1,00000000000000;0,00000000000000;OK;"";"fragment";"182";"170"
;00028;1;122,102499999944;5;PMMA;397;411;397;397;411;411;397;411;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41636794443110;0,00000000000000;;"";"";"0";"0"
;00029;15;1831,53749999916;5;PMMA;403;843;403;407;842;845;405;843;0,94868329805051;0,31622776601684;5,42718872423575;3,84604989415152;1,41110720703041;18,4349488229220;0,94666666666667;0,00000000000000;OK;"";"fragment";"77";"65"
;00030;1;122,102499999944;5;PMMA;478;595;478;478;595;595;478;595;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34299625044177;0,00000000000000;;"";"";"0";"0"
;00031;1;122,102499999944;5;PMMA;582;210;582;582;210;210;582;210;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52907804444444;0,00000000000000;;"";"";"0";"0"
;00032;1;122,102499999944;5;PMMA;605;55;605;605;55;55;605;55;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32876331592294;0,00000000000000;;"";"";"0";"0"
;00033;1;122,102499999944;5;PMMA;704;61;704;704;61;61;704;61;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35815197060249;0,00000000000000;;"";"";"0";"0"
;00034;1;122,102499999944;5;PMMA;725;87;725;725;87;87;725;87;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35660731160749;0,00000000000000;;"";"";"0";"0"
;00035;2;244,204999999887;5;PMMA;866;239;866;867;239;239;866;239;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,45080029866667;0,00000000000000;;"";"";"0";"0"
;00036;3;366,307499999831;6;PVC;203;554;203;204;554;555;203;554;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,30082370370370;0,00000000000000;;"";"";"0";"0"
;00037;4;488,409999999775;6;PVC;283;761;283;284;759;761;284;760;-0,31622776601684;0,94868329805051;3,21359436211776;1,94868329805047;1,64911064067350;108,434948822922;0,51117353855248;0,00000000000000;;"";"";"0";"0"
;00038;1;122,102499999944;6;PVC;397;950;397;397;950;950;397;950;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38651499875531;0,00000000000000;;"";"";"0";"0"
;00039;1;122,102499999944;6;PVC;398;949;398;398;949;949;398;949;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49618779654321;0,00000000000000;;"";"";"0";"0"
;00040;1;122,102499999944;6;PVC;499;972;499;499;972;972;499;972;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44568144889628;0,00000000000000;;"";"";"0";"0"
;00041;1;122,102499999944;7;PE;45;439;45;45;439;439;45;439;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45370311111111;0,00000000000000;;"";"";"0";"0"
;00042;1;122,102499999944;7;PE;46;451;46;46;451;451;46;451;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38946228536914;0,00000000000000;;"";"";"0";"0"
;00043;8;976,819999999550;7;PE;47;447;47;49;446;448;48;447;0,70710678118655;-0,70710678118655;3,82842712474621;3,12132034355960;1,22654091966101;135,000000000000;0,90931200000000;0,00000000000000;OK;"";"fragment";"73";"54"
;00044;72;8791,37999999595;7;PE;48;438;48;63;428;439;57;434;0,74939253083426;-0,66212599611390;17,4506293967047;7,56999970806760;2,30523514790985;138,537784405913;1,00000000000000;0,00000000000000;OK;"";"fragment";"453";"242"
;00045;1;122,102499999944;7;PE;56;648;56;56;648;648;56;648;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42413511111111;0,00000000000000;;"";"";"0";"0"
;00046;1;122,102499999944;7;PE;63;417;63;63;417;417;63;417;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47392341571002;0,00000000000000;;"";"";"0";"0"
;00047;20;2442,04999999887;7;PE;63;419;63;70;419;422;67;420;0,95703666447069;0,28996693407839;8,27919051945159;3,87110999341206;2,13871229015484;16,8559764247024;0,76800000000000;0,00000000000000;;"";"";"0";"0"
;00048;2;244,204999999887;7;PE;86;310;86;87;310;310;86;310;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,26868329771193;0,00000000000000;;"";"";"0";"0"
;00049;1;122,102499999944;7;PE;98;562;98;98;562;562;98;562;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44356195564452;0,00000000000000;;"";"";"0";"0"
;00050;1;122,102499999944;7;PE;100;565;100;100;565;565;100;565;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53649408000000;0,00000000000000;;"";"";"0";"0"
;00051;2;244,204999999887;7;PE;101;564;101;102;564;564;102;564;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,36517479764659;0,00000000000000;;"";"";"0";"0"
;00052;1;122,102499999944;7;PE;103;568;103;103;568;568;103;568;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51577495703704;0,00000000000000;;"";"";"0";"0"
;00053;152;18559,5799999914;7;PE;105;323;105;118;319;339;113;328;8,53263008130889E-02;0,99635306111315;20,7564086206369;13,6112845912187;1,52494119724951;85,1052113022407;0,71276308859259;0,00000000000000;OK;"";"fragment";"331";"164"
;00054;2;244,204999999887;7;PE;127;663;127;128;663;663;128;663;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,45086720000000;0,00000000000000;;"";"";"0";"0"
;00055;1;122,102499999944;7;PE;146;755;146;146;755;755;146;755;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46222222222222;0,00000000000000;;"";"";"0";"0"
