"","Tier","Environment","Metric","Mean","Median","Std_Dev","Min","Max","Percentile_5th","Percentile_95th","N_sim"
"56","Tier2","Marine","tissue_translocation_um2.L",1030,908,511,281,3170,455,2120,9580
"57","Tier3","Freshwater","Food Dilution (5th %)",39.7,21,49.1,0.017,328,1.78,143,9580
"58","Tier3","Freshwater","Food Dilution (95th %)",3340,2030,3700,0.584,25400,270,11300,9580
"59","Tier3","Freshwater","Food Dilution (Default)",67.1,36.1,79.9,0.0353,438,3.36,252,9580
"60","Tier3","Freshwater","N Datapoints (food dilution)",107,107,0,107,107,107,107,9580
"61","Tier3","Freshwater","N Datapoints (tissue trans)",97.1,100,8.86,29,110,78,108,9580
"62","Tier3","Freshwater","N Groups (food dilution)",2,2,0,2,2,2,2,9580
"63","Tier3","Freshwater","N Groups (tissue trans)",2.02,2,0.329,1,3,2,3,9580
"64","Tier3","Freshwater","N Species (food dilution)",7,7,0,7,7,7,7,9580
"65","Tier3","Freshwater","N Species (tissue trans)",6.42,6,0.683,2,8,6,8,9580
"66","Tier3","Freshwater","Tissue Translocation (5th %)",1770,1810,699,43.7,5060,605,2770,9140
"67","Tier3","Freshwater","Tissue Translocation (95th %)",72800,55500,130000,2450,2190000,19300,121000,9140
"68","Tier3","Freshwater","Tissue Translocation (Default)",4520,4630,1410,132,8760,1950,6740,9140
"69","Tier3","Freshwater","food_dilution_ug.L",2490,1270,3230,0.77,37700,114,9310,9580
"70","Tier3","Freshwater","food_dilution_um3.L",1560,1120,1370,1.46,7450,186,4550,9580
"71","Tier3","Freshwater","tissue_translocation_ug.L",168000,156000,80800,4930,777000,59900,316000,9140
"72","Tier3","Freshwater","tissue_translocation_um2.L",38900,39800,11900,1270,84000,17200,57500,9140
"73","Tier3","Marine","Food Dilution (5th %)",0.0663,0.0298,0.0976,0.000182,1.22,0.00341,0.263,9580
"74","Tier3","Marine","Food Dilution (95th %)",11.7,6.6,13.8,0.188,94.3,1.2,40.5,9580
"75","Tier3","Marine","Food Dilution (Default)",0.571,0.282,0.773,0.00119,5.35,0.0291,2.18,9580
"76","Tier3","Marine","N Datapoints (food dilution)",40,40,0,40,40,40,40,9580
"77","Tier3","Marine","N Datapoints (tissue trans)",34.6,34,2.08,5,41,34,41,9580
"78","Tier3","Marine","N Groups (food dilution)",7,7,0,7,7,7,7,9580
"79","Tier3","Marine","N Groups (tissue trans)",7.09,7,0.294,2,8,7,8,9580
"80","Tier3","Marine","N Species (food dilution)",13,13,0,13,13,13,13,9580
"81","Tier3","Marine","N Species (tissue trans)",13.1,13,0.349,2,14,13,14,9580
"82","Tier3","Marine","Tissue Translocation (5th %)",147,135,80.4,11.2,564,30.3,298,9580
"83","Tier3","Marine","Tissue Translocation (95th %)",5790,4940,3600,613,41400,2560,11400,9580
"84","Tier3","Marine","Tissue Translocation (Default)",552,482,323,66.3,2230,162,1210,9580
"85","Tier3","Marine","food_dilution_ug.L",94.1,46.5,128,0.187,943,4.82,358,9580
"86","Tier3","Marine","food_dilution_um3.L",34.2,22.1,35.3,0.302,218,3.73,109,9580
"87","Tier3","Marine","tissue_translocation_ug.L",90900,79300,53300,10700,394000,26600,199000,9580
