"","Environment","Freshwater","Freshwater","Marine","Marine"
"1","Metric","Food Dilution (Default)","Tissue Translocation (Default)","Food Dilution (Default)","Tissue Translocation (Default)"
"2","Tier1","15.300 (0.64200 to 54.700)","450.000 (275.00000 to 612.000)","0.000 (0.00001 to 0.002)","1.510 (0.94300 to 1.500)"
"3","Tier2","59.000 (3.49000 to 202.000)","1,620.000 (1,080.00000 to 2,180.000)","0.014 (0.00032 to 0.057)","16.300 (9.76000 to 19.200)"
"4","Tier3","536.000 (73.80000 to 1,350.000)","7,000.000 (4,130.00000 to 10,500.000)","2.230 (0.05510 to 9.000)","860.000 (590.00000 to 1,010.000)"
"5","Tier4","1,300.000 (187.00000 to 3,330.000)","16,800.000 (9,990.00000 to 24,700.000)","10.800 (0.31800 to 42.700)","4,100.000 (3,260.00000 to 4,630.000)"
