"","Tier","Food Dilution (Freshwater)","Tissue Translocation (Freshwater)","Food Dilution (Marine)","Tissue Translocation (Marine)"
"1","Tier1","12 (1.9 to 58)","525 (371.0 to 569)","0.0001 (0.00003 to 0.0003)","0.6000 (0.48400 to 1.9300)"
"2","Tier2","48 (9.1 to 214)","2,010 (1,430.0 to 2,280)","0.0020 (0.00068 to 0.0078)","9.2500 (6.29000 to 25.5000)"
"3","Tier3","508 (176.0 to 1,350)","9,220 (7,670.0 to 10,300)","0.3550 (0.13100 to 1.2500)","394.0000 (301.00000 to 1,320.0000)"
"4","Tier4","1,240 (437.0 to 3,370)","22,800 (18,300.0 to 26,100)","2.0100 (0.76900 to 6.7200)","2,200.0000 (1,620.00000 to 5,900.0000)"
