Data ID:;D:\mrolf2\Blanks\FB_PW3_ML1_1v2\FB_PW3_ML1_1v2\FB PW 3 ML1-1_1v2.ilab
Date of Export:;2020-07-15 17:41:18
Classes:;24
Particles:;59476

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;14
;2;PET;PET;10
;3;PA;PA;2
;4;PC;PC;1
;5;PMMA;PMMA;9
;6;PVC;PVC;34
;7;PE;PE;4
;8;PP;PP;6
;9;POM;POM;2
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;5
;13;PBT;PBT;4
;14;PPSU;PPSU;11
;15;CA;CA;0
;16;EVAc;EVAc;2
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;3
;20;SILICONE;SI;6
;21;Substrat;Substrate;52004
;22;Non-Polymer;Non-Polymer;7358
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00022;9;2;PET;940;485;940;946;485;486;944,000000000000;486,000000000000;0,99710956252304;-7,59771039531298E-02;6,98265737513816;2,14906377042939;3,24916248238786;175,642633562569;0,28538050930034;0,47495423259748;;"";"";"";"";"";""
;00023;2;2;PET;951;485;951;952;485;485;952,000000000000;486,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,29825054317478;0,49132881987149;;"";"";"";"";"";""
;00024;4;2;PET;955;484;955;956;484;485;956,000000000000;486,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,37830049185185;0,66199186738984;;"";"";"";"";"";""
;00025;1;3;PA;538;470;538;538;470;470;539,000000000000;471,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39790059176138;0,80820865506020;;"";"";"";"";"";""
;00026;1;3;PA;676;379;676;676;379;379;677,000000000000;380,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35269802080973;0,84030767025826;;"";"";"";"";"";""
;00027;1;4;PC;217;210;217;217;210;210;218,000000000000;211,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33456350908690;0,45664521988953;;"";"";"";"";"";""
;00028;2;5;PMMA;139;433;139;140;433;433;140,000000000000;434,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,48003144016722;0,17181022460350;;"";"";"";"";"";""
;00029;1;5;PMMA;250;609;250;250;609;609;251,000000000000;610,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34626623162680;0,27001166596792;;"";"";"";"";"";""
;00030;1;5;PMMA;315;134;315;315;134;134;316,000000000000;135,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51578396536232;0,36101764032304;;"";"";"";"";"";""
;00031;4;5;PMMA;398;350;398;400;349;350;400,000000000000;350,000000000000;0,85065080835204;-0,52573111211913;3,22703272882322;1,85065080835204;1,74372859226577;148,282525588539;0,84632414814815;0,79435248443467;OK;"ja";"Fragment";"transparent";"53";"42";""
