Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.3_0-5_no.1-2\ML3_3_0-5_NO1-2.ilab
Date of Export:;2021-04-20 13:23:57
Classes:;24
Particles on File:;8947

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;27
;2;PET;PET;2
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;7
;6;PVC;PVC;10
;7;PE;PE;55
;8;PP;PP;7
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;7
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;46
;22;Non-Polymer;Non-Polymer;8780
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;121

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00023;1;122,102499999944;1;PU;586;523;586;586;523;523;586;523;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47684854518519;0,00000000000000;;"";"";"";"";""
;00024;1;122,102499999944;1;PU;782;314;782;782;314;314;782;314;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49670700246914;0,00000000000000;;"";"";"";"";""
;00025;1;122,102499999944;1;PU;819;810;819;819;810;810;819;810;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40880197783704;0,00000000000000;;"";"";"";"";""
;00026;1;122,102499999944;1;PU;833;699;833;833;699;699;833;699;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54648888888889;0,00000000000000;;"";"";"";"";""
;00027;1;122,102499999944;1;PU;942;558;942;942;558;558;942;558;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40813739425185;0,00000000000000;;"";"";"";"";""
;00028;11;1343,12749999938;2;PET;263;454;263;266;453;457;265;455;0,45454634065776;0,89072309063740;5,47198504386517;3,25436211261069;1,68143090858303;62,9642512114114;0,51569777777778;0,00000000000000;OK;"";"fragment";"182";"45";""
;00029;14;1709,43499999921;2;PET;635;162;635;640;162;164;638;163;0,99007482477984;0,14054124425649;6,23145661241222;3,12069089381618;1,99681955837414;8,07916692047560;0,63792179137768;0,00000000000000;OK;"";"fragment";"119";"55";""
;00030;1;122,102499999944;4;PC;333;162;333;333;162;162;333;162;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42676604135770;0,00000000000000;;"";"";"";"";""
;00031;2;244,204999999887;4;PC;479;267;479;480;267;267;480;267;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,38949914760533;0,00000000000000;;"";"";"";"";""
;00032;1;122,102499999944;4;PC;608;944;608;608;944;944;608;944;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36495917719451;0,00000000000000;;"";"";"";"";""
;00033;1;122,102499999944;5;PMMA;126;366;126;126;366;366;126;366;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34522751332807;0,00000000000000;;"";"";"";"";""
;00034;1;122,102499999944;5;PMMA;179;282;179;179;282;282;179;282;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39665328734066;0,00000000000000;;"";"";"";"";""
;00035;2;244,204999999887;5;PMMA;179;284;179;179;284;285;179;284;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,45568687291944;0,00000000000000;OK;"";"fragment";"95";"70";""
;00036;1;122,102499999944;5;PMMA;580;751;580;580;751;751;580;751;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40888888888889;0,00000000000000;;"";"";"";"";""
;00037;1;122,102499999944;5;PMMA;706;103;706;706;103;103;706;103;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,61013333333333;0,00000000000000;OK;"";"fragment";"106";"87";""
;00038;1;122,102499999944;5;PMMA;765;591;765;765;591;591;765;591;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38957171294815;0,00000000000000;;"";"";"";"";""
;00039;10;1221,02499999944;5;PMMA;807;777;807;811;777;779;808;778;0,99864904383885;5,19623636851339E-02;5,04655853904058;3,04926045136290;1,65501065570997;2,97856555735411;0,44364143450158;0,00000000000000;OK;"";"fragment";"69";"59";""
;00040;1;122,102499999944;6;PVC;275;490;275;275;490;490;275;490;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48938666666667;0,00000000000000;;"";"";"";"";""
;00041;3;366,307499999831;6;PVC;277;487;277;277;487;489;277;488;0,00000000000000;1,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;90,0000000000000;0,41992533333333;0,00000000000000;;"";"";"";"";""
;00042;2;244,204999999887;6;PVC;283;495;283;283;495;496;283;496;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,58849185185185;0,00000000000000;;"";"";"";"";""
;00043;1;122,102499999944;6;PVC;394;380;394;394;380;380;394;380;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,55022401098307;0,00000000000000;;"";"";"";"";""
;00044;2;244,204999999887;6;PVC;395;378;395;395;378;379;395;378;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,52797629629630;0,00000000000000;;"";"";"";"";""
;00045;1;122,102499999944;6;PVC;411;417;411;411;417;417;411;417;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58666666666667;0,00000000000000;;"";"";"";"";""
;00046;1;122,102499999944;6;PVC;436;613;436;436;613;613;436;613;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48043387259259;0,00000000000000;;"";"";"";"";""
;00047;21;2564,15249999882;6;PVC;513;51;513;518;50;53;515;52;0,99210923560366;-0,12537649153622;6,21129916109078;4,35245718141964;1,42707875165468;172,797501794858;0,88142222222222;0,00000000000000;OK;"";"fragment";"160";"109";""
;00048;1;122,102499999944;6;PVC;519;49;519;519;49;49;519;49;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58048158024691;0,00000000000000;;"";"";"";"";""
;00049;1;122,102499999944;6;PVC;523;50;523;523;50;50;523;50;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,68608000000000;0,00000000000000;;"";"";"";"";""
;00050;7;854,717499999606;7;PE;88;518;88;91;517;518;90;518;0,98940039549748;-0,14521314468540;4,11341433117785;2,27982668486834;1,80426624465772;171,650377883003;0,84195555555556;0,00000000000000;OK;"";"fragment";"88";"50";""
