Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML2.3_0-5_NO2_1\ML2_3_0-5_No2_1.ilab
Date of Export:;2021-04-20 11:54:06
Classes:;24
Particles on File:;1944

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;20
;2;PET;PET;2
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;0
;6;PVC;PVC;17
;7;PE;PE;24
;8;PP;PP;0
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;7
;13;PBT;PBT;0
;14;PPSU;PPSU;1
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;3
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;1869
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;75

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymer;shape;length;width;comment
;00022;21;2564,15249999966;2;PET;639;650;639;646;650;655;642;653;0,85099570601938;0,52517264621892;9,58283317323037;3,87881017785855;2,47055997427566;31,6798664386356;0,35631722787075;0,58990322780376;OK;"";"fragment";"165";"85";""
;00023;1;122,102499999984;4;PC;697;327;697;697;327;327;697;327;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35406273955900;0,42499893527087;;"";"";"0";"0";""
;00024;1;122,102499999984;6;PVC;268;797;268;268;797;797;268;797;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42130214895144;0,30073811345346;;"";"";"0";"0";""
;00025;1;122,102499999984;6;PVC;268;799;268;268;799;799;268;799;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,72914972655144;0,34986968386404;;"";"";"0";"0";""
;00026;1;122,102499999984;6;PVC;275;793;275;275;793;793;275;793;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40966261357985;0,24489600544104;;"";"";"0";"0";""
;00027;1;122,102499999984;6;PVC;305;863;305;305;863;863;305;863;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36166737162605;0,32856073426982;;"";"";"0";"0";""
;00028;1;122,102499999984;6;PVC;307;863;307;307;863;863;307;863;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42413511111111;0,21205250753938;;"";"";"0";"0";""
;00029;1;122,102499999984;6;PVC;309;394;309;309;394;394;309;394;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46933333333333;1,65430894228275E-02;;"";"";"0";"0";""
;00030;2;244,204999999968;6;PVC;309;863;309;309;863;864;309;864;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,48110313370864;0,23354831098232;;"";"";"0";"0";""
;00031;1;122,102499999984;6;PVC;311;397;311;311;397;397;311;397;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38835583557531;0,12158608510334;;"";"";"0";"0";""
