;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;L‰nge;Breite
gr5mm_ML2.1_(0-5)_001;1;Fragment;blau;PP;1;;Hannah;09/09/20;50000;2000
gr5mm_ML2.1_(0-5)_002;1;Fragment;weiﬂ;PE;1;;Hannah;09/09/20;15000;4000
