Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML2.3_0-5_NO1_1\ML 2_3_ 0-5_No_1_1.ilab
Date of Export:;2021-04-20 11:50:16
Classes:;24
Particles on File:;1190

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;11
;2;PET;PET;0
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;1
;6;PVC;PVC;8
;7;PE;PE;14
;8;PP;PP;5
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;3
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;1
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;1145
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;45

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00023;1;122,102499999944;7;PE;219;361;219;219;361;361;219;361;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36032916206091;0,00000000000000;;"";"";"";"";""
;00024;1;122,102499999944;7;PE;282;815;282;282;815;815;282;815;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40782222222222;0,00000000000000;;"";"";"";"";""
;00025;8;976,819999999550;7;PE;366;453;366;368;452;455;367;454;-0,56959483776260;0,82192561755562;4,03537169042946;3,21344607287392;1,25577700665145;124,721977390208;0,60081777777778;0,00000000000000;OK;"";"fragment";"44";"35";""
;00026;11;1343,12749999938;7;PE;400;126;400;403;125;128;401;126;0,75311475651908;-0,65788917266756;5,23301178755992;3,25934426955723;1,60554128523245;138,860912900066;0,39804403105185;0,00000000000000;OK;"";"fragment";"115";"72";""
;00027;1;122,102499999944;7;PE;416;385;416;416;385;385;416;385;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43158944133373;0,00000000000000;;"";"";"";"";""
;00028;1;122,102499999944;7;PE;457;616;457;457;616;616;457;616;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44800000000000;0,00000000000000;;"";"";"";"";""
;00029;1;122,102499999944;7;PE;501;555;501;501;555;555;501;555;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,62148949333333;0,00000000000000;;"";"";"";"";""
;00030;1;122,102499999944;7;PE;502;92;502;502;92;92;502;92;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29781251763937;0,00000000000000;;"";"";"";"";""
;00031;2;244,204999999887;7;PE;638;475;638;639;475;475;638;475;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,29459014542222;0,00000000000000;;"";"";"";"";""
;00032;1;122,102499999944;7;PE;675;703;675;675;703;703;675;703;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41787508216274;0,00000000000000;;"";"";"";"";""
