;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;L‰nge;Breite
gr1mm_ML3_(0-5)_001;1;Fragment;weiﬂ;PE;1;;Hannah;25.08.2020;1495;748
gr1mm_ML3_(0-5)_002;1;Faser;rot;x;x;2x;Hannah;25.08.2020;;
gr1mm_ML3_(0-5)_003;1;Faser;blau;PET;1;;Hannah;25.08.2020;5929;19
gr1mm_ML3_(0-5)_004;1;Fragment;weiﬂ;x;x;;Hannah;25.08.2020;;
gr1mm_ML3_(0-5)_005;1;Faser;blau;x;x;;Hannah;25.08.2020;;
gr1mm_ML3_(0-5)_006;1;Fragment;weiﬂ;PE;1;;Hannah;25.08.2020;1893;1518
gr1mm_ML3_(0-5)_007;1;Fragment;beige;x;x;;Hannah;25.08.2020;;
