;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;Länge;Breite
gr0.5-1mm_ML2_(0-5)_Markus_001;1;Kugel;grau;x;x;2x gem;Hannah;06.07.2020;506;505
gr0.5-1mm_ML2_(0-5)_Markus_002;1;Faser;weiß;PET;1;;Hannah;06.07.2020;1269;860
gr0.5-1mm_ML2_(0-5)_Markus_003;1;Kugel;transparent;PS;1;;Hannah;06.07.2020;559;558
gr0.5-1mm_ML2_(0-5)_Markus_004;1;Kugel;weiß;PS;1;;Hannah;06.07.2020;1090;980
gr0.5-1mm_ML2_(0-5)_Markus_005;1;Kugel;gold;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_006;1;Kugel;braun;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_007;0;Kugel;weiß;x;x;verloren;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_008;1;Faser;braun;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_009;1;Fragment;gelb;x;x;2x gem;Hannah;06.07.2020;1046;673
gr0.5-1mm_ML2_(0-5)_Markus_010;1;Faser;blau;x;x;2x gem;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_011;1;Fragment;weiß;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_012;1;Faser;weiß;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_013;1;Kugel;weiß;x;x;2x gem;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_014;1;Fragment;schwarz;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_015;1;Kugel;weiß;PS;1;;Hannah;06.07.2020;519;520
gr0.5-1mm_ML2_(0-5)_Markus_016;1;Fragment;gelb;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_017;0;Faser;weiß;x;x;verloren;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_018;1;Fragment;rosa;PVC;1;;Hannah;06.07.2020;2487;819
gr0.5-1mm_ML2_(0-5)_Markus_019;1;Fragment;weiß;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_020;0;Fragment;braun;x;x;verloren;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_021;1;Kugel;weiß;PS;1;;Hannah;06.07.2020;892;864
gr0.5-1mm_ML2_(0-5)_Markus_022;1;Fragment;weiß;x;x;2x gem;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_023;1;Fragment;schwarz;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_024;1;Fragment;beige;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_025;1;Fragment;beige;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_026;1;Faser;schwarz;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_027;1;Faser;schwarz;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_028;1;Faser;schwarz;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_029;1;Fragment;schwarz;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_030;1;Fragment;braun;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_031;1;Faser;schwarz;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_032;1;Faser;schwarz;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_033;1;Faser;schwarz;PET;1;;Hannah;06.07.2020;3361;29
gr0.5-1mm_ML2_(0-5)_Markus_034;1;Faser;schwarz;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_035;1;Faser;weiß;x;x;2x gem;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_036;1;Fragment;transparent;PE;1;;Hannah;06.07.2020;723;417
gr0.5-1mm_ML2_(0-5)_Markus_037;1;Faser;weiß;PET;1;;Hannah;06.07.2020;3979;40
gr0.5-1mm_ML2_(0-5)_Markus_038;1;Fragment;beige;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_039;1;Kugel;weiß;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_040;1;Fragment;transparent;x;x;2x gem;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_041;1;Fragment;schwarz;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_042;1;Fragment;schwarz;x;x;;Hannah;06.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_043;1;Fragment;beige;ABS;1;2x gem;Hannah;10.07.2020;613;574
gr0.5-1mm_ML2_(0-5)_Markus_044;1;Fragment;schwarz;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_045;1;Fragment;schwarz;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_046;0;Fragment;beige;x;x;verloren;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_047;1;Faser;schwarz;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_048;1;Fragment;weiß;PP;1;;Hannah;10.07.2020;2833;1588
gr0.5-1mm_ML2_(0-5)_Markus_049;1;Faser;schwarz;x;x;2x gem;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_050;1;Fragment;weiß;x;x;2x gem;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_051;1;Fragment;schwarz;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_052;1;Fragment;weiß;PE;1;;Hannah;10.07.2020;4919;2388
gr0.5-1mm_ML2_(0-5)_Markus_053;1;Fragment;schwarz;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_054;1;Fragment;blau;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_055;1;Fragment;schwarz;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_056;1;Fragment;braun;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_057;1;Fragment;schwarz;PE;1;;Hannah;10.07.2020;2387;577
gr0.5-1mm_ML2_(0-5)_Markus_058;1;Fragment;transparent;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_059;1;Fragment;braun;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_060;1;Kugel;weiß;PE;1;;Hannah;10.07.2020;3848;3412
gr0.5-1mm_ML2_(0-5)_Markus_061;1;Fragment;weiß;PE;1;;Hannah;10.07.2020;2177;175
gr0.5-1mm_ML2_(0-5)_Markus_062;1;Fragment;beige;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_063;1;Fragment;beige;PP;1;2x gem;Hannah;10.07.2020;294;219
gr0.5-1mm_ML2_(0-5)_Markus_064;1;Faser;schwarz;x;x;2x gem;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_065;1;Fragment;braun;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_066;1;Fragment;schwarz;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_067;1;Fragment;grün;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_068;1;Fragment;grün;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_069;1;Faser;rot;x;x;2x gem;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_070;1;Faser;schwarz;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_071;1;Fragment;grau;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_072;1;Faser;weiß;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_073;1;Fragment;weiß;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_074;1;Fragment;braun;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_075;1;Faser;blau;x;x;2x gem;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_076;1;Faser;schwarz;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_077;1;Faser;schwarz;x;x;;Hannah;10.07.2020;;
gr0.5-1mm_ML2_(0-5)_Markus_078;1;Fragment;beige;PET;1;;Hannah;10.07.2020;674;543
gr0.5-1mm_ML2_(0-5)_Markus_079;0;Fragment;transparent;x;x;verloren;Hannah;10.07.2020;;
