Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.3_0-5_1-256_2v5\ML1.3_0-5_1-256_2v5.ilab
Date of Export:;2021-04-20 11:36:18
Classes:;24
Particles on File:;13818

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;26
;2;PET;PET;3
;3;PA;PA;4
;4;PC;PC;1
;5;PMMA;PMMA;5
;6;PVC;PVC;4
;7;PE;PE;37
;8;PP;PP;6
;9;POM;POM;4
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;1
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;1
;22;Non-Polymer;Non-Polymer;13725
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;92

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00023;1;122,102499999944;1;PU;688;551;688;688;551;551;688;551;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51078637037037;0,00000000000000;;"";"";"";"";""
;00024;1;122,102499999944;1;PU;696;99;696;696;99;99;696;99;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45086720000000;0,00000000000000;;"";"";"";"";""
;00025;1;122,102499999944;1;PU;779;662;779;779;662;662;779;662;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50194583703704;0,00000000000000;;"";"";"";"";""
;00026;1;122,102499999944;1;PU;906;566;906;906;566;566;906;566;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45175125333333;0,00000000000000;;"";"";"";"";""
;00027;1;122,102499999944;2;PET;95;220;95;95;220;220;95;220;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38218401700910;0,00000000000000;;"";"";"";"";""
;00028;2;244,204999999887;2;PET;144;661;144;145;661;661;144;661;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,36403128663066;0,00000000000000;;"";"";"";"";""
;00029;1;122,102499999944;2;PET;301;259;301;301;259;259;301;259;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47229503824108;0,00000000000000;OK;"";"bead";"52";"52";""
;00030;1;122,102499999944;3;PA;117;595;117;117;595;595;117;595;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,70089446314315;0,00000000000000;;"";"";"";"";""
;00031;1;122,102499999944;3;PA;432;587;432;432;587;587;432;587;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48191353152263;0,00000000000000;;"";"";"";"";""
;00032;1;122,102499999944;3;PA;433;586;433;433;586;586;433;586;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44728888888889;0,00000000000000;;"";"";"";"";""
